fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
017652,中航华证商飞高端制造产业指数发起C,2026-02-05,1.1264,1.1051,-1.89,2026-02-06 15:00
017652,中航华证商飞高端制造产业指数发起C,2026-02-05,1.1264,1.1051,-1.89,2026-02-06 15:00
017652,中航华证商飞高端制造产业指数发起C,2026-02-05,1.1264,1.1051,-1.89,2026-02-06 15:00
017652,中航华证商飞高端制造产业指数发起C,2026-02-05,1.1264,1.1051,-1.89,2026-02-06 15:00
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1205,1.43,2026-02-09 09:28
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1088,0.37,2026-02-09 09:42
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1111,0.58,2026-02-09 09:57
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1208,1.45,2026-02-09 10:13
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1151,0.94,2026-02-09 10:27
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1129,0.75,2026-02-09 10:43
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1139,0.83,2026-02-09 10:58
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1163,1.05,2026-02-09 11:13
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1159,1.02,2026-02-09 11:27
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1149,0.92,2026-02-09 11:30
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1143,0.87,2026-02-09 13:16
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1149,0.92,2026-02-09 13:32
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1143,0.87,2026-02-09 13:47
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1156,0.99,2026-02-09 14:01
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1123,0.69,2026-02-09 14:16
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1119,0.65,2026-02-09 14:32
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1119,0.65,2026-02-09 14:47
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1129,0.75,2026-02-09 15:00
017652,中航华证商飞高端制造产业指数发起C,2026-02-06,1.1047,1.1129,0.75,2026-02-09 15:00
017652,中航华证商飞高端制造产业指数发起C,2026-02-09,1.1129,1.1062,-0.60,2026-02-10 09:33
017652,中航华证商飞高端制造产业指数发起C,2026-02-09,1.1129,1.1032,-0.87,2026-02-10 09:48
