fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
008888,华夏国证半导体芯片ETF联接C,2026-02-05,1.6063,1.5907,-0.97,2026-02-06 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-05,1.6063,1.5907,-0.97,2026-02-06 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-05,1.6063,1.5907,-0.97,2026-02-06 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-05,1.6063,1.5907,-0.97,2026-02-06 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6282,2.30,2026-02-09 09:28
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6171,1.60,2026-02-09 09:42
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6228,1.96,2026-02-09 09:57
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6357,2.77,2026-02-09 10:13
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6328,2.59,2026-02-09 10:29
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6352,2.74,2026-02-09 10:42
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6371,2.86,2026-02-09 10:58
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6381,2.92,2026-02-09 11:13
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6366,2.83,2026-02-09 11:27
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6352,2.74,2026-02-09 11:30
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6381,2.92,2026-02-09 13:16
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6441,3.30,2026-02-09 13:32
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6436,3.27,2026-02-09 13:47
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6436,3.27,2026-02-09 14:01
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6419,3.16,2026-02-09 14:17
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6444,3.32,2026-02-09 14:32
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6471,3.49,2026-02-09 14:47
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6468,3.47,2026-02-09 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-06,1.5916,1.6468,3.47,2026-02-09 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6649,1.28,2026-02-10 09:33
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6649,1.28,2026-02-10 09:33
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6681,1.47,2026-02-10 09:49
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6632,1.18,2026-02-10 10:04
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6646,1.26,2026-02-10 10:19
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6608,1.03,2026-02-10 10:33
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6552,0.69,2026-02-10 10:48
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6503,0.39,2026-02-10 11:03
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6529,0.55,2026-02-10 11:18
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6511,0.44,2026-02-10 11:30
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6553,0.69,2026-02-10 13:26
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6561,0.74,2026-02-10 13:41
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6536,0.59,2026-02-10 13:57
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6545,0.64,2026-02-10 14:11
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6543,0.63,2026-02-10 14:26
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6562,0.75,2026-02-10 14:41
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6559,0.73,2026-02-10 14:56
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6549,0.67,2026-02-10 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6549,0.67,2026-02-10 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6549,0.67,2026-02-10 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6549,0.67,2026-02-10 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6549,0.67,2026-02-10 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6549,0.67,2026-02-10 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6549,0.67,2026-02-10 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6549,0.67,2026-02-10 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6549,0.67,2026-02-10 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6549,0.67,2026-02-10 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-09,1.6439,1.6549,0.67,2026-02-10 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6337,-1.26,2026-02-11 09:35
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6408,-0.83,2026-02-11 09:49
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6232,-1.89,2026-02-11 10:05
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6255,-1.75,2026-02-11 10:20
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6317,-1.38,2026-02-11 10:35
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6330,-1.30,2026-02-11 10:50
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6328,-1.31,2026-02-11 11:30
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6366,-1.08,2026-02-11 13:20
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6354,-1.16,2026-02-11 13:35
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6358,-1.13,2026-02-11 13:50
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6350,-1.18,2026-02-11 14:05
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6338,-1.25,2026-02-11 14:19
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6343,-1.22,2026-02-11 14:35
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6323,-1.34,2026-02-11 14:50
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6305,-1.45,2026-02-11 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6305,-1.45,2026-02-11 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6305,-1.45,2026-02-11 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-10,1.6545,1.6305,-1.45,2026-02-11 15:00
008888,华夏国证半导体芯片ETF联接C,2026-02-11,1.6316,1.6404,0.54,2026-02-12 09:31
