fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
011148,南方军工改革灵活配置混合C,2026-02-05,1.5187,1.5005,-1.20,2026-02-06 15:00
011148,南方军工改革灵活配置混合C,2026-02-05,1.5187,1.5005,-1.20,2026-02-06 15:00
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5079,1.17,2026-02-09 09:28
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5025,0.80,2026-02-09 09:42
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5061,1.05,2026-02-09 09:57
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5147,1.62,2026-02-09 10:12
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5170,1.78,2026-02-09 10:29
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5144,1.60,2026-02-09 10:43
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5152,1.66,2026-02-09 10:58
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5177,1.83,2026-02-09 11:13
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5153,1.66,2026-02-09 11:28
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5143,1.60,2026-02-09 11:30
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5220,2.11,2026-02-09 13:16
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5257,2.36,2026-02-09 13:32
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5268,2.43,2026-02-09 13:47
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5326,2.82,2026-02-09 14:03
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5281,2.52,2026-02-09 14:17
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5300,2.65,2026-02-09 14:31
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5293,2.60,2026-02-09 14:47
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5305,2.68,2026-02-09 15:00
011148,南方军工改革灵活配置混合C,2026-02-06,1.4905,1.5305,2.68,2026-02-09 15:00
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5182,-0.27,2026-02-10 09:33
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5167,-0.38,2026-02-10 09:33
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5146,-0.51,2026-02-10 09:49
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5196,-0.18,2026-02-10 10:04
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5251,0.18,2026-02-10 10:19
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5242,0.12,2026-02-10 10:33
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5218,-0.04,2026-02-10 10:48
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5209,-0.10,2026-02-10 11:03
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5214,-0.06,2026-02-10 11:18
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5210,-0.09,2026-02-10 11:30
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5236,0.08,2026-02-10 13:26
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5232,0.05,2026-02-10 13:41
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5249,0.17,2026-02-10 13:56
011148,南方军工改革灵活配置混合C,2026-02-09,1.5224,1.5240,0.10,2026-02-10 14:12
