fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
020900,天弘中证全指通信设备指数发起C,2026-02-05,2.6057,2.5856,-0.77,2026-02-06 15:00
020900,天弘中证全指通信设备指数发起C,2026-02-05,2.6057,2.5856,-0.77,2026-02-06 15:00
020900,天弘中证全指通信设备指数发起C,2026-02-05,2.6057,2.5856,-0.77,2026-02-06 15:00
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.6737,3.35,2026-02-09 09:28
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.6469,2.31,2026-02-09 09:42
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.6683,3.14,2026-02-09 09:58
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7033,4.49,2026-02-09 10:12
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.6960,4.21,2026-02-09 10:27
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.6929,4.09,2026-02-09 10:42
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7377,5.82,2026-02-09 10:58
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7379,5.83,2026-02-09 11:13
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7485,6.24,2026-02-09 11:26
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7447,6.09,2026-02-09 11:30
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7190,5.10,2026-02-09 13:16
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7271,5.41,2026-02-09 13:31
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7328,5.63,2026-02-09 13:47
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7276,5.43,2026-02-09 14:01
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7206,5.16,2026-02-09 14:17
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7265,5.39,2026-02-09 14:32
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7284,5.46,2026-02-09 14:47
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7312,5.57,2026-02-09 15:00
020900,天弘中证全指通信设备指数发起C,2026-02-06,2.5871,2.7312,5.57,2026-02-09 15:00
020900,天弘中证全指通信设备指数发起C,2026-02-09,2.7238,2.7519,1.03,2026-02-10 09:33
020900,天弘中证全指通信设备指数发起C,2026-02-09,2.7238,2.7519,1.03,2026-02-10 09:33
020900,天弘中证全指通信设备指数发起C,2026-02-09,2.7238,2.7309,0.26,2026-02-10 09:48
020900,天弘中证全指通信设备指数发起C,2026-02-09,2.7238,2.7491,0.93,2026-02-10 10:04
020900,天弘中证全指通信设备指数发起C,2026-02-09,2.7238,2.7527,1.06,2026-02-10 10:18
020900,天弘中证全指通信设备指数发起C,2026-02-09,2.7238,2.7434,0.72,2026-02-10 10:33
020900,天弘中证全指通信设备指数发起C,2026-02-09,2.7238,2.7355,0.43,2026-02-10 10:48
