fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
014881,天弘中证机器人ETF发起联接C,2026-02-05,1.2316,1.2383,0.54,2026-02-06 15:00
014881,天弘中证机器人ETF发起联接C,2026-02-05,1.2316,1.2383,0.54,2026-02-06 15:00
014881,天弘中证机器人ETF发起联接C,2026-02-05,1.2316,1.2383,0.54,2026-02-06 15:00
014881,天弘中证机器人ETF发起联接C,2026-02-05,1.2316,1.2383,0.54,2026-02-06 15:00
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2554,1.41,2026-02-09 09:27
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2495,0.94,2026-02-09 09:42
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2484,0.85,2026-02-09 09:57
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2537,1.28,2026-02-09 10:12
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2523,1.16,2026-02-09 10:26
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2520,1.14,2026-02-09 10:42
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2549,1.37,2026-02-09 10:58
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2556,1.43,2026-02-09 11:13
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2547,1.36,2026-02-09 11:28
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2541,1.31,2026-02-09 11:30
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2544,1.33,2026-02-09 13:16
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2551,1.39,2026-02-09 13:32
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2558,1.45,2026-02-09 13:47
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2569,1.53,2026-02-09 14:01
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2558,1.45,2026-02-09 14:17
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2561,1.47,2026-02-09 14:31
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2571,1.55,2026-02-09 14:47
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2582,1.64,2026-02-09 15:00
014881,天弘中证机器人ETF发起联接C,2026-02-06,1.2379,1.2582,1.64,2026-02-09 15:00
014881,天弘中证机器人ETF发起联接C,2026-02-09,1.2572,1.2586,0.11,2026-02-10 09:33
014881,天弘中证机器人ETF发起联接C,2026-02-09,1.2572,1.2586,0.11,2026-02-10 09:33
014881,天弘中证机器人ETF发起联接C,2026-02-09,1.2572,1.2619,0.37,2026-02-10 09:48
014881,天弘中证机器人ETF发起联接C,2026-02-09,1.2572,1.2661,0.71,2026-02-10 10:04
014881,天弘中证机器人ETF发起联接C,2026-02-09,1.2572,1.2671,0.79,2026-02-10 10:18
014881,天弘中证机器人ETF发起联接C,2026-02-09,1.2572,1.2639,0.53,2026-02-10 10:33
014881,天弘中证机器人ETF发起联接C,2026-02-09,1.2572,1.2646,0.59,2026-02-10 10:48
014881,天弘中证机器人ETF发起联接C,2026-02-09,1.2572,1.2660,0.70,2026-02-10 11:03
014881,天弘中证机器人ETF发起联接C,2026-02-09,1.2572,1.2655,0.66,2026-02-10 11:18
