fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
025833,天弘中证电网设备主题指数发起C,2026-02-05,1.2068,1.2144,0.63,2026-02-06 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-05,1.2068,1.2144,0.63,2026-02-06 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-05,1.2068,1.2144,0.63,2026-02-06 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-05,1.2068,1.2144,0.63,2026-02-06 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2344,1.63,2026-02-09 09:28
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2234,0.72,2026-02-09 09:42
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2207,0.50,2026-02-09 09:56
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2333,1.54,2026-02-09 10:12
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2321,1.44,2026-02-09 10:27
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2354,1.71,2026-02-09 10:41
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2410,2.18,2026-02-09 10:58
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2418,2.24,2026-02-09 11:11
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2431,2.35,2026-02-09 11:26
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2419,2.25,2026-02-09 11:30
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2381,1.94,2026-02-09 13:16
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2446,2.47,2026-02-09 13:31
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2469,2.66,2026-02-09 13:47
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2479,2.75,2026-02-09 14:01
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2461,2.59,2026-02-09 14:16
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2469,2.66,2026-02-09 14:31
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2484,2.78,2026-02-09 14:47
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2491,2.84,2026-02-09 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-06,1.2146,1.2491,2.84,2026-02-09 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2481,-0.10,2026-02-10 09:33
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2475,-0.15,2026-02-10 09:33
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2457,-0.29,2026-02-10 09:48
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2551,0.46,2026-02-10 10:02
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2634,1.12,2026-02-10 10:18
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2627,1.06,2026-02-10 10:33
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2571,0.62,2026-02-10 10:48
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2560,0.53,2026-02-10 11:03
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2550,0.45,2026-02-10 11:18
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2552,0.46,2026-02-10 11:30
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2622,1.03,2026-02-10 13:25
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2652,1.26,2026-02-10 13:40
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2641,1.18,2026-02-10 13:55
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2642,1.19,2026-02-10 14:10
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2629,1.08,2026-02-10 14:26
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2630,1.09,2026-02-10 14:41
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2621,1.02,2026-02-10 14:55
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2616,0.98,2026-02-10 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2616,0.98,2026-02-10 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2616,0.98,2026-02-10 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2616,0.98,2026-02-10 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2616,0.98,2026-02-10 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2616,0.98,2026-02-10 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2616,0.98,2026-02-10 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2616,0.98,2026-02-10 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2616,0.98,2026-02-10 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-09,1.2494,1.2616,0.98,2026-02-10 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2697,0.59,2026-02-11 09:34
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2709,0.68,2026-02-11 09:49
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2654,0.25,2026-02-11 10:04
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2673,0.40,2026-02-11 10:19
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2664,0.32,2026-02-11 10:34
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2669,0.36,2026-02-11 10:49
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2660,0.29,2026-02-11 11:30
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2651,0.22,2026-02-11 13:20
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2636,0.10,2026-02-11 13:34
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2670,0.37,2026-02-11 13:49
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2641,0.14,2026-02-11 14:04
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2646,0.18,2026-02-11 14:20
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2621,-0.01,2026-02-11 14:34
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2628,0.04,2026-02-11 14:50
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2624,0.01,2026-02-11 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2624,0.01,2026-02-11 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2624,0.01,2026-02-11 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-10,1.2623,1.2624,0.01,2026-02-11 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.2727,0.77,2026-02-12 09:30
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.2702,0.57,2026-02-12 09:31
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.2630,0.00,2026-02-12 09:44
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.2756,1.00,2026-02-12 10:01
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.2826,1.55,2026-02-12 10:14
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.2868,1.88,2026-02-12 10:31
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.2959,2.60,2026-02-12 10:46
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3042,3.26,2026-02-12 11:00
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3055,3.36,2026-02-12 11:14
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3068,3.47,2026-02-12 11:30
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3068,3.47,2026-02-12 11:30
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3068,3.47,2026-02-12 11:30
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3068,3.47,2026-02-12 11:30
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3068,3.47,2026-02-12 11:30
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3068,3.47,2026-02-12 11:30
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3064,3.44,2026-02-12 13:00
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3001,2.94,2026-02-12 13:16
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.2990,2.85,2026-02-12 13:30
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3014,3.04,2026-02-12 13:46
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3010,3.01,2026-02-12 14:02
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3006,2.97,2026-02-12 14:16
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.2997,2.91,2026-02-12 14:32
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3003,2.95,2026-02-12 14:46
025833,天弘中证电网设备主题指数发起C,2026-02-11,1.2630,1.3004,2.96,2026-02-12 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2841,-1.29,2026-02-13 13:42
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2815,-1.49,2026-02-13 13:57
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2782,-1.75,2026-02-13 14:12
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2778,-1.78,2026-02-13 14:27
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2756,-1.95,2026-02-13 14:41
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2749,-2.00,2026-02-13 14:57
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
025833,天弘中证电网设备主题指数发起C,2026-02-12,1.3009,1.2740,-2.07,2026-02-13 15:00
