fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
001553,天弘中证证券保险C,2026-02-05,1.1518,1.1442,-0.66,2026-02-06 15:00
001553,天弘中证证券保险C,2026-02-05,1.1518,1.1442,-0.66,2026-02-06 15:00
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1518,0.64,2026-02-09 09:28
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1483,0.33,2026-02-09 09:42
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1547,0.89,2026-02-09 09:57
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1578,1.16,2026-02-09 10:12
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1582,1.20,2026-02-09 10:27
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1595,1.31,2026-02-09 10:42
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1578,1.16,2026-02-09 10:58
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1583,1.21,2026-02-09 11:13
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1583,1.21,2026-02-09 11:27
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1583,1.21,2026-02-09 11:30
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1577,1.15,2026-02-09 13:18
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1579,1.17,2026-02-09 13:32
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1577,1.15,2026-02-09 13:47
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1566,1.06,2026-02-09 14:03
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1559,1.00,2026-02-09 14:17
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1570,1.09,2026-02-09 14:32
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1591,1.28,2026-02-09 14:47
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1596,1.32,2026-02-09 15:00
001553,天弘中证证券保险C,2026-02-06,1.1445,1.1596,1.32,2026-02-09 15:00
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1569,-0.26,2026-02-10 09:33
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1563,-0.31,2026-02-10 09:35
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1592,-0.06,2026-02-10 09:49
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1582,-0.15,2026-02-10 10:04
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1575,-0.21,2026-02-10 10:19
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1568,-0.27,2026-02-10 10:34
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1573,-0.22,2026-02-10 10:50
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1567,-0.28,2026-02-10 11:05
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1558,-0.35,2026-02-10 11:20
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1562,-0.32,2026-02-10 11:30
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1567,-0.28,2026-02-10 13:26
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1569,-0.26,2026-02-10 13:41
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1557,-0.36,2026-02-10 13:57
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1557,-0.36,2026-02-10 14:11
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 14:27
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1558,-0.35,2026-02-10 14:41
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1565,-0.30,2026-02-10 14:58
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 15:00
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 15:00
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 15:00
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 15:00
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 15:00
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 15:00
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 15:00
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 15:00
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 15:00
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 15:00
001553,天弘中证证券保险C,2026-02-09,1.1599,1.1560,-0.34,2026-02-10 15:00
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1560,-0.01,2026-02-11 09:35
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1496,-0.57,2026-02-11 09:49
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1502,-0.52,2026-02-11 10:05
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1500,-0.54,2026-02-11 10:20
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1520,-0.36,2026-02-11 10:35
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1511,-0.45,2026-02-11 10:50
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1522,-0.35,2026-02-11 11:30
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1530,-0.28,2026-02-11 13:20
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1540,-0.19,2026-02-11 13:35
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1539,-0.20,2026-02-11 13:49
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1534,-0.24,2026-02-11 14:05
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1527,-0.30,2026-02-11 14:20
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1526,-0.31,2026-02-11 14:35
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1517,-0.39,2026-02-11 14:50
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1513,-0.42,2026-02-11 15:00
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1513,-0.42,2026-02-11 15:00
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1513,-0.42,2026-02-11 15:00
001553,天弘中证证券保险C,2026-02-10,1.1562,1.1513,-0.42,2026-02-11 15:00
001553,天弘中证证券保险C,2026-02-11,1.1517,1.1493,-0.21,2026-02-12 09:31
001553,天弘中证证券保险C,2026-02-11,1.1517,1.1466,-0.44,2026-02-12 09:47
001553,天弘中证证券保险C,2026-02-11,1.1517,1.1466,-0.44,2026-02-12 10:00
001553,天弘中证证券保险C,2026-02-11,1.1517,1.1467,-0.44,2026-02-12 10:16
001553,天弘中证证券保险C,2026-02-11,1.1517,1.1461,-0.49,2026-02-12 10:31
001553,天弘中证证券保险C,2026-02-11,1.1517,1.1446,-0.62,2026-02-12 10:47
001553,天弘中证证券保险C,2026-02-11,1.1517,1.1449,-0.59,2026-02-12 11:01
