fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
021964,天弘储能电池指数C,2026-02-05,1.4488,1.4605,0.81,2026-02-06 15:00
021964,天弘储能电池指数C,2026-02-05,1.4488,1.4605,0.81,2026-02-06 15:00
021964,天弘储能电池指数C,2026-02-05,1.4488,1.4605,0.81,2026-02-06 15:00
021964,天弘储能电池指数C,2026-02-05,1.4488,1.4605,0.81,2026-02-06 15:00
021964,天弘储能电池指数C,2026-02-06,1.4609,1.4836,1.55,2026-02-09 09:28
021964,天弘储能电池指数C,2026-02-06,1.4609,1.4790,1.24,2026-02-09 09:42
021964,天弘储能电池指数C,2026-02-06,1.4609,1.4806,1.35,2026-02-09 09:57
021964,天弘储能电池指数C,2026-02-06,1.4609,1.4920,2.13,2026-02-09 10:13
021964,天弘储能电池指数C,2026-02-06,1.4609,1.4882,1.87,2026-02-09 10:27
021964,天弘储能电池指数C,2026-02-06,1.4609,1.4892,1.94,2026-02-09 10:42
021964,天弘储能电池指数C,2026-02-06,1.4609,1.5006,2.72,2026-02-09 10:58
021964,天弘储能电池指数C,2026-02-06,1.4609,1.5014,2.77,2026-02-09 11:13
021964,天弘储能电池指数C,2026-02-06,1.4609,1.5018,2.80,2026-02-09 11:26
021964,天弘储能电池指数C,2026-02-06,1.4609,1.5006,2.72,2026-02-09 11:30
021964,天弘储能电池指数C,2026-02-06,1.4609,1.4970,2.47,2026-02-09 13:16
021964,天弘储能电池指数C,2026-02-06,1.4609,1.5001,2.68,2026-02-09 13:32
021964,天弘储能电池指数C,2026-02-06,1.4609,1.4989,2.60,2026-02-09 13:47
021964,天弘储能电池指数C,2026-02-06,1.4609,1.5013,2.76,2026-02-09 14:01
021964,天弘储能电池指数C,2026-02-06,1.4609,1.4971,2.48,2026-02-09 14:17
021964,天弘储能电池指数C,2026-02-06,1.4609,1.4982,2.55,2026-02-09 14:32
021964,天弘储能电池指数C,2026-02-06,1.4609,1.4990,2.61,2026-02-09 14:47
