fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
014564,天弘沪深港创新药50ETF联接A,2026-02-05,1.2000,1.1960,-0.33,2026-02-06 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-05,1.2000,1.1960,-0.33,2026-02-06 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-05,1.2000,1.1960,-0.33,2026-02-06 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-05,1.2000,1.1960,-0.33,2026-02-06 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2131,1.37,2026-02-09 09:28
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2090,1.03,2026-02-09 09:42
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2091,1.04,2026-02-09 09:57
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2101,1.12,2026-02-09 10:12
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2173,1.72,2026-02-09 10:26
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2161,1.62,2026-02-09 10:43
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2135,1.40,2026-02-09 10:58
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2139,1.44,2026-02-09 11:13
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2121,1.29,2026-02-09 11:28
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2119,1.27,2026-02-09 11:30
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2149,1.52,2026-02-09 13:16
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2144,1.48,2026-02-09 13:32
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2120,1.28,2026-02-09 13:47
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2118,1.26,2026-02-09 14:01
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2126,1.33,2026-02-09 14:17
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2133,1.39,2026-02-09 14:32
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2144,1.48,2026-02-09 14:47
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2149,1.52,2026-02-09 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-06,1.1967,1.2155,1.57,2026-02-09 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2162,0.17,2026-02-10 09:33
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2156,0.12,2026-02-10 09:33
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2283,1.17,2026-02-10 09:48
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2316,1.44,2026-02-10 10:04
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2366,1.85,2026-02-10 10:18
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2423,2.32,2026-02-10 10:33
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2561,3.46,2026-02-10 10:48
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2493,2.90,2026-02-10 11:03
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2477,2.77,2026-02-10 11:18
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2499,2.95,2026-02-10 11:30
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2417,2.27,2026-02-10 13:26
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2436,2.43,2026-02-10 13:43
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2446,2.51,2026-02-10 13:57
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2437,2.44,2026-02-10 14:12
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2446,2.51,2026-02-10 14:27
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2455,2.59,2026-02-10 14:41
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2449,2.54,2026-02-10 14:56
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2438,2.45,2026-02-10 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2415,2.26,2026-02-10 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2411,2.22,2026-02-10 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2411,2.22,2026-02-10 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2411,2.22,2026-02-10 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2411,2.22,2026-02-10 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2411,2.22,2026-02-10 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2411,2.22,2026-02-10 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2411,2.22,2026-02-10 15:00
014564,天弘沪深港创新药50ETF联接A,2026-02-09,1.2141,1.2411,2.22,2026-02-10 15:00
