fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
019260,富国恒生红利ETF联接A,2026-02-05,1.4429,1.4423,-0.04,2026-02-06 15:00
019260,富国恒生红利ETF联接A,2026-02-05,1.4429,1.4423,-0.04,2026-02-06 15:00
019260,富国恒生红利ETF联接A,2026-02-05,1.4429,1.4423,-0.04,2026-02-06 15:00
019260,富国恒生红利ETF联接A,2026-02-05,1.4429,1.4423,-0.04,2026-02-06 15:00
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4505,0.27,2026-02-09 09:28
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4548,0.57,2026-02-09 09:42
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4597,0.91,2026-02-09 09:57
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4585,0.82,2026-02-09 10:12
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4608,0.98,2026-02-09 10:26
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4602,0.94,2026-02-09 10:42
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4557,0.63,2026-02-09 10:58
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4567,0.70,2026-02-09 11:13
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4567,0.70,2026-02-09 11:26
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4565,0.68,2026-02-09 11:30
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4546,0.55,2026-02-09 13:16
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4553,0.60,2026-02-09 13:32
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4540,0.51,2026-02-09 13:47
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4535,0.48,2026-02-09 14:01
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4556,0.62,2026-02-09 14:17
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4556,0.62,2026-02-09 14:31
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4576,0.76,2026-02-09 14:47
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4573,0.74,2026-02-09 15:00
019260,富国恒生红利ETF联接A,2026-02-06,1.4466,1.4557,0.63,2026-02-09 15:00
019260,富国恒生红利ETF联接A,2026-02-09,1.4453,1.4452,-0.01,2026-02-10 09:33
019260,富国恒生红利ETF联接A,2026-02-09,1.4453,1.4448,-0.03,2026-02-10 09:33
019260,富国恒生红利ETF联接A,2026-02-09,1.4453,1.4507,0.38,2026-02-10 09:48
019260,富国恒生红利ETF联接A,2026-02-09,1.4453,1.4530,0.53,2026-02-10 10:04
