fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
018386,招商中证全指软件ETF发起式联接C,2026-02-05,0.9219,0.9086,-1.44,2026-02-06 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-05,0.9219,0.9086,-1.44,2026-02-06 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-05,0.9219,0.9086,-1.44,2026-02-06 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9263,1.85,2026-02-09 09:27
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9237,1.56,2026-02-09 09:42
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9263,1.85,2026-02-09 09:58
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9286,2.10,2026-02-09 10:13
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9295,2.20,2026-02-09 10:27
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9294,2.19,2026-02-09 10:43
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9284,2.07,2026-02-09 10:58
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9288,2.12,2026-02-09 11:13
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9315,2.42,2026-02-09 11:27
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9321,2.48,2026-02-09 11:30
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9379,3.12,2026-02-09 13:16
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9367,2.99,2026-02-09 13:32
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9360,2.91,2026-02-09 13:47
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9364,2.96,2026-02-09 14:01
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9346,2.76,2026-02-09 14:17
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9355,2.86,2026-02-09 14:32
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9365,2.97,2026-02-09 14:47
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9376,3.09,2026-02-09 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-06,0.9095,0.9376,3.09,2026-02-09 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9387,0.31,2026-02-10 09:33
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9366,0.09,2026-02-10 09:33
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9367,0.10,2026-02-10 09:48
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9403,0.48,2026-02-10 10:04
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9389,0.33,2026-02-10 10:18
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9364,0.06,2026-02-10 10:33
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9396,0.41,2026-02-10 10:48
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9409,0.55,2026-02-10 11:03
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9430,0.77,2026-02-10 11:18
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9463,1.12,2026-02-10 11:30
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9436,0.83,2026-02-10 13:25
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9436,0.83,2026-02-10 13:41
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9440,0.88,2026-02-10 13:57
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 14:11
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9426,0.73,2026-02-10 14:27
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9421,0.67,2026-02-10 14:42
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9423,0.69,2026-02-10 14:56
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-09,0.9358,0.9422,0.68,2026-02-10 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9441,0.17,2026-02-11 09:35
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9442,0.18,2026-02-11 09:50
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9427,0.02,2026-02-11 10:04
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9399,-0.28,2026-02-11 10:19
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9440,0.16,2026-02-11 10:34
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9414,-0.12,2026-02-11 10:50
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9434,0.10,2026-02-11 11:30
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9395,-0.32,2026-02-11 13:19
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9410,-0.16,2026-02-11 13:34
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9410,-0.16,2026-02-11 13:49
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9389,-0.38,2026-02-11 14:04
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9383,-0.45,2026-02-11 14:19
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9379,-0.49,2026-02-11 14:35
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9372,-0.56,2026-02-11 14:49
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9369,-0.60,2026-02-11 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9369,-0.59,2026-02-11 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9368,-0.60,2026-02-11 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-10,0.9425,0.9368,-0.60,2026-02-11 15:00
018386,招商中证全指软件ETF发起式联接C,2026-02-11,0.9374,0.9395,0.22,2026-02-12 09:31
018386,招商中证全指软件ETF发起式联接C,2026-02-11,0.9374,0.9380,0.06,2026-02-12 09:46
018386,招商中证全指软件ETF发起式联接C,2026-02-11,0.9374,0.9394,0.21,2026-02-12 10:00
018386,招商中证全指软件ETF发起式联接C,2026-02-11,0.9374,0.9366,-0.09,2026-02-12 10:17
018386,招商中证全指软件ETF发起式联接C,2026-02-11,0.9374,0.9403,0.31,2026-02-12 10:31
018386,招商中证全指软件ETF发起式联接C,2026-02-11,0.9374,0.9401,0.29,2026-02-12 10:46
018386,招商中证全指软件ETF发起式联接C,2026-02-11,0.9374,0.9406,0.34,2026-02-12 11:01
018386,招商中证全指软件ETF发起式联接C,2026-02-11,0.9374,0.9429,0.59,2026-02-12 11:16
018386,招商中证全指软件ETF发起式联接C,2026-02-11,0.9374,0.9435,0.65,2026-02-12 11:30
018386,招商中证全指软件ETF发起式联接C,2026-02-11,0.9374,0.9435,0.65,2026-02-12 11:30
018386,招商中证全指软件ETF发起式联接C,2026-02-11,0.9374,0.9435,0.65,2026-02-12 11:30
