fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
013196,招商中证新能源汽车指数C,2026-02-05,0.7802,0.7942,1.79,2026-02-06 15:00
013196,招商中证新能源汽车指数C,2026-02-05,0.7802,0.7942,1.79,2026-02-06 15:00
013196,招商中证新能源汽车指数C,2026-02-05,0.7802,0.7942,1.79,2026-02-06 15:00
013196,招商中证新能源汽车指数C,2026-02-05,0.7802,0.7942,1.79,2026-02-06 15:00
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8019,1.09,2026-02-09 09:28
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.7979,0.58,2026-02-09 09:42
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.7956,0.29,2026-02-09 09:57
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.7985,0.66,2026-02-09 10:12
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.7984,0.64,2026-02-09 10:27
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.7973,0.50,2026-02-09 10:42
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.7998,0.82,2026-02-09 10:58
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8016,1.04,2026-02-09 11:13
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8011,0.98,2026-02-09 11:28
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8008,0.94,2026-02-09 11:30
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8008,0.95,2026-02-09 13:16
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8018,1.07,2026-02-09 13:32
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8005,0.91,2026-02-09 13:47
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8016,1.04,2026-02-09 14:01
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8004,0.89,2026-02-09 14:17
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8008,0.94,2026-02-09 14:32
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8013,1.01,2026-02-09 14:46
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8016,1.04,2026-02-09 15:00
013196,招商中证新能源汽车指数C,2026-02-06,0.7933,0.8016,1.04,2026-02-09 15:00
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.8008,-0.02,2026-02-10 09:33
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.8010,0.00,2026-02-10 09:33
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7990,-0.25,2026-02-10 09:48
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7996,-0.17,2026-02-10 10:04
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.8011,0.01,2026-02-10 10:18
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7978,-0.40,2026-02-10 10:33
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7968,-0.52,2026-02-10 10:48
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7961,-0.61,2026-02-10 11:03
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7960,-0.62,2026-02-10 11:18
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7960,-0.63,2026-02-10 11:30
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7969,-0.51,2026-02-10 13:26
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7979,-0.39,2026-02-10 13:41
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7990,-0.25,2026-02-10 13:56
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7987,-0.29,2026-02-10 14:12
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7982,-0.35,2026-02-10 14:26
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7984,-0.32,2026-02-10 14:41
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7987,-0.28,2026-02-10 14:58
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7984,-0.33,2026-02-10 15:00
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7984,-0.33,2026-02-10 15:00
013196,招商中证新能源汽车指数C,2026-02-09,0.8010,0.7984,-0.33,2026-02-10 15:00
