fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-05,1.3853,1.3817,-0.26,2026-02-06 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-05,1.3853,1.3817,-0.26,2026-02-06 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-05,1.3853,1.3817,-0.26,2026-02-06 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3866,0.04,2026-02-09 09:28
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3839,-0.15,2026-02-09 09:42
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3929,0.50,2026-02-09 09:58
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3922,0.45,2026-02-09 10:12
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3935,0.54,2026-02-09 10:26
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3940,0.58,2026-02-09 10:43
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3890,0.22,2026-02-09 10:58
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3878,0.13,2026-02-09 11:13
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3884,0.17,2026-02-09 11:26
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3892,0.23,2026-02-09 11:30
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3877,0.12,2026-02-09 13:16
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3872,0.09,2026-02-09 13:32
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3888,0.20,2026-02-09 13:47
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3874,0.10,2026-02-09 14:01
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3886,0.19,2026-02-09 14:17
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3892,0.23,2026-02-09 14:32
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3906,0.33,2026-02-09 14:47
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3909,0.36,2026-02-09 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-06,1.3860,1.3902,0.30,2026-02-09 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3910,0.03,2026-02-10 09:33
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3910,0.03,2026-02-10 09:33
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3955,0.35,2026-02-10 09:48
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3956,0.36,2026-02-10 10:04
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3941,0.25,2026-02-10 10:18
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3960,0.39,2026-02-10 10:33
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3946,0.29,2026-02-10 10:48
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3957,0.37,2026-02-10 11:03
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3941,0.25,2026-02-10 11:18
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3937,0.22,2026-02-10 11:30
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3949,0.31,2026-02-10 13:26
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3946,0.29,2026-02-10 13:41
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3934,0.20,2026-02-10 13:56
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3931,0.18,2026-02-10 14:12
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3941,0.25,2026-02-10 14:27
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3930,0.17,2026-02-10 14:41
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3938,0.23,2026-02-10 14:56
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3937,0.22,2026-02-10 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3939,0.24,2026-02-10 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3938,0.23,2026-02-10 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3942,0.26,2026-02-10 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3942,0.26,2026-02-10 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3942,0.26,2026-02-10 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3942,0.26,2026-02-10 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3942,0.26,2026-02-10 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3942,0.26,2026-02-10 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3942,0.26,2026-02-10 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-09,1.3906,1.3942,0.26,2026-02-10 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3920,-0.22,2026-02-11 09:34
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3892,-0.42,2026-02-11 09:49
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3920,-0.22,2026-02-11 10:04
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3919,-0.23,2026-02-11 10:19
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3898,-0.38,2026-02-11 10:34
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3927,-0.17,2026-02-11 10:49
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3934,-0.12,2026-02-11 11:30
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3979,0.20,2026-02-11 13:20
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3987,0.26,2026-02-11 13:34
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3986,0.25,2026-02-11 13:50
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3989,0.27,2026-02-11 14:04
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3991,0.28,2026-02-11 14:20
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3994,0.31,2026-02-11 14:35
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3987,0.26,2026-02-11 14:50
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3993,0.30,2026-02-11 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3991,0.29,2026-02-11 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3991,0.29,2026-02-11 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-10,1.3951,1.3982,0.22,2026-02-11 15:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3950,-0.19,2026-02-12 09:31
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3906,-0.51,2026-02-12 09:46
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3860,-0.84,2026-02-12 10:00
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3896,-0.58,2026-02-12 10:16
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3900,-0.55,2026-02-12 10:31
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3861,-0.83,2026-02-12 10:46
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3846,-0.94,2026-02-12 11:01
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3816,-1.15,2026-02-12 11:16
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3816,-1.15,2026-02-12 11:30
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3818,-1.14,2026-02-12 11:30
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3818,-1.14,2026-02-12 11:30
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3818,-1.14,2026-02-12 11:30
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3818,-1.14,2026-02-12 11:30
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3818,-1.14,2026-02-12 11:30
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3808,-1.21,2026-02-12 13:01
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3802,-1.25,2026-02-12 13:17
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3806,-1.22,2026-02-12 13:31
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3817,-1.15,2026-02-12 13:46
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3813,-1.17,2026-02-12 14:02
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3825,-1.09,2026-02-12 14:17
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3820,-1.12,2026-02-12 14:31
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3818,-1.14,2026-02-12 14:46
016573,招商中证银行AH价格优选ETF发起式联接C,2026-02-11,1.3977,1.3816,-1.15,2026-02-12 15:00
