fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
012734,易方达中证人工智能主题ETF联接C,2026-02-05,1.7890,1.7555,-1.87,2026-02-06 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-05,1.7890,1.7555,-1.87,2026-02-06 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8031,2.61,2026-02-09 09:27
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.7937,2.07,2026-02-09 09:42
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8016,2.52,2026-02-09 09:57
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8130,3.17,2026-02-09 10:13
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8088,2.93,2026-02-09 10:26
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8049,2.71,2026-02-09 10:42
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8153,3.30,2026-02-09 10:56
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8158,3.33,2026-02-09 11:13
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8228,3.73,2026-02-09 11:28
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8214,3.65,2026-02-09 11:30
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8200,3.57,2026-02-09 13:16
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8228,3.73,2026-02-09 13:31
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8251,3.86,2026-02-09 13:47
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8241,3.80,2026-02-09 14:01
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8209,3.62,2026-02-09 14:17
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8241,3.80,2026-02-09 14:32
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8260,3.91,2026-02-09 14:47
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8279,4.02,2026-02-09 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-06,1.7573,1.8278,4.01,2026-02-09 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8394,0.83,2026-02-10 09:33
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8394,0.83,2026-02-10 09:33
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8435,1.05,2026-02-10 09:48
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8473,1.26,2026-02-10 10:04
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8493,1.37,2026-02-10 10:18
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8444,1.10,2026-02-10 10:33
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8431,1.03,2026-02-10 10:48
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8391,0.81,2026-02-10 11:03
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8413,0.93,2026-02-10 11:18
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8436,1.06,2026-02-10 11:30
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 13:26
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8418,0.96,2026-02-10 13:41
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8413,0.93,2026-02-10 13:57
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8407,0.90,2026-02-10 14:12
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8409,0.91,2026-02-10 14:26
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8418,0.96,2026-02-10 14:42
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8405,0.89,2026-02-10 14:56
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-09,1.8243,1.8402,0.87,2026-02-10 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8262,-0.73,2026-02-11 09:34
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8253,-0.78,2026-02-11 09:49
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8058,-1.84,2026-02-11 10:05
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8074,-1.75,2026-02-11 10:19
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8124,-1.48,2026-02-11 10:35
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8067,-1.79,2026-02-11 10:49
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8089,-1.67,2026-02-11 11:30
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8091,-1.66,2026-02-11 13:19
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8102,-1.60,2026-02-11 13:34
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8124,-1.48,2026-02-11 13:49
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8091,-1.66,2026-02-11 14:05
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8072,-1.76,2026-02-11 14:19
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8067,-1.79,2026-02-11 14:35
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8065,-1.80,2026-02-11 14:49
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8043,-1.92,2026-02-11 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8043,-1.92,2026-02-11 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8043,-1.92,2026-02-11 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-10,1.8396,1.8043,-1.92,2026-02-11 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8221,0.88,2026-02-12 09:31
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8264,1.12,2026-02-12 09:46
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8241,0.99,2026-02-12 10:00
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8078,0.09,2026-02-12 10:17
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8109,0.26,2026-02-12 10:31
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8075,0.07,2026-02-12 10:46
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8170,0.60,2026-02-12 11:01
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8196,0.74,2026-02-12 11:16
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8216,0.85,2026-02-12 11:30
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8216,0.85,2026-02-12 11:30
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8216,0.85,2026-02-12 11:30
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8216,0.85,2026-02-12 11:30
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8216,0.85,2026-02-12 11:30
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8216,0.85,2026-02-12 11:30
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8253,1.06,2026-02-12 13:01
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8259,1.09,2026-02-12 13:17
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8337,1.52,2026-02-12 13:31
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8349,1.59,2026-02-12 13:45
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8443,2.11,2026-02-12 14:02
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8421,1.99,2026-02-12 14:17
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8376,1.74,2026-02-12 14:32
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8430,2.04,2026-02-12 14:47
012734,易方达中证人工智能主题ETF联接C,2026-02-11,1.8062,1.8431,2.04,2026-02-12 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8461,0.27,2026-02-13 13:42
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8422,0.06,2026-02-13 13:57
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8369,-0.23,2026-02-13 14:12
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8376,-0.19,2026-02-13 14:27
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8330,-0.44,2026-02-13 14:43
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8302,-0.59,2026-02-13 14:58
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
012734,易方达中证人工智能主题ETF联接C,2026-02-12,1.8411,1.8303,-0.58,2026-02-13 15:00
