fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
019059,易方达中证绿色电力ETF联接发起式C,2026-02-05,1.1098,1.1150,0.47,2026-02-06 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-05,1.1098,1.1150,0.47,2026-02-06 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-05,1.1098,1.1150,0.47,2026-02-06 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-05,1.1098,1.1150,0.47,2026-02-06 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1202,0.50,2026-02-09 09:28
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1194,0.43,2026-02-09 09:42
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1230,0.75,2026-02-09 09:57
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1249,0.92,2026-02-09 10:12
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1230,0.75,2026-02-09 10:26
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1233,0.78,2026-02-09 10:42
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1225,0.71,2026-02-09 10:58
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1224,0.70,2026-02-09 11:13
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1222,0.68,2026-02-09 11:28
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1223,0.69,2026-02-09 11:30
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1203,0.51,2026-02-09 13:16
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1216,0.63,2026-02-09 13:32
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1213,0.60,2026-02-09 13:47
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1216,0.63,2026-02-09 14:01
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1210,0.57,2026-02-09 14:17
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1208,0.56,2026-02-09 14:32
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1210,0.57,2026-02-09 14:47
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1216,0.63,2026-02-09 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-06,1.1146,1.1216,0.63,2026-02-09 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1147,-0.58,2026-02-10 09:33
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 09:33
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1135,-0.69,2026-02-10 09:48
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1153,-0.53,2026-02-10 10:04
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1164,-0.43,2026-02-10 10:18
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1157,-0.49,2026-02-10 10:33
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1153,-0.53,2026-02-10 10:48
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1144,-0.61,2026-02-10 11:03
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1136,-0.67,2026-02-10 11:20
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1140,-0.64,2026-02-10 11:30
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1147,-0.58,2026-02-10 13:25
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1148,-0.57,2026-02-10 13:41
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1144,-0.61,2026-02-10 13:57
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1138,-0.66,2026-02-10 14:12
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1140,-0.64,2026-02-10 14:27
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1145,-0.60,2026-02-10 14:42
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1147,-0.58,2026-02-10 14:58
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-09,1.1212,1.1141,-0.63,2026-02-10 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1165,0.18,2026-02-11 09:35
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1170,0.22,2026-02-11 09:50
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1180,0.31,2026-02-11 10:04
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1181,0.32,2026-02-11 10:19
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1181,0.33,2026-02-11 10:35
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1187,0.38,2026-02-11 10:50
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1181,0.32,2026-02-11 11:30
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1174,0.26,2026-02-11 13:19
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1172,0.24,2026-02-11 13:34
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1177,0.29,2026-02-11 13:49
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1174,0.26,2026-02-11 14:05
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1172,0.24,2026-02-11 14:20
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1172,0.24,2026-02-11 14:35
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1165,0.18,2026-02-11 14:50
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1162,0.15,2026-02-11 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1163,0.16,2026-02-11 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1164,0.17,2026-02-11 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-10,1.1145,1.1163,0.16,2026-02-11 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1234,0.64,2026-02-12 09:30
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1234,0.64,2026-02-12 09:30
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1171,0.08,2026-02-12 09:46
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1178,0.13,2026-02-12 10:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1221,0.52,2026-02-12 10:16
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1224,0.55,2026-02-12 10:31
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1234,0.64,2026-02-12 10:46
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1261,0.88,2026-02-12 11:01
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1261,0.88,2026-02-12 11:16
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1266,0.92,2026-02-12 11:30
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1266,0.92,2026-02-12 11:30
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1266,0.92,2026-02-12 11:30
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1266,0.92,2026-02-12 11:30
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1266,0.92,2026-02-12 11:30
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1266,0.92,2026-02-12 11:30
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1259,0.86,2026-02-12 13:01
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1247,0.75,2026-02-12 13:16
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1241,0.70,2026-02-12 13:32
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1248,0.76,2026-02-12 13:47
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1243,0.72,2026-02-12 14:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1246,0.74,2026-02-12 14:17
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1247,0.75,2026-02-12 14:32
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1246,0.74,2026-02-12 14:47
019059,易方达中证绿色电力ETF联接发起式C,2026-02-11,1.1163,1.1242,0.71,2026-02-12 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1148,-0.87,2026-02-13 13:43
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1129,-1.04,2026-02-13 13:57
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1114,-1.17,2026-02-13 14:14
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1112,-1.19,2026-02-13 14:29
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1095,-1.34,2026-02-13 14:43
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1103,-1.27,2026-02-13 14:57
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
019059,易方达中证绿色电力ETF联接发起式C,2026-02-12,1.1246,1.1094,-1.35,2026-02-13 15:00
