fundcode,name,jzrq,dwjz,gsz,gszzl,gztime
006787,泰康港股通大消费指数C,2026-02-05,1.0892,1.0781,-1.02,2026-02-06 15:00
006787,泰康港股通大消费指数C,2026-02-05,1.0892,1.0781,-1.02,2026-02-06 15:00
006787,泰康港股通大消费指数C,2026-02-05,1.0892,1.0781,-1.02,2026-02-06 15:00
006787,泰康港股通大消费指数C,2026-02-05,1.0892,1.0781,-1.02,2026-02-06 15:00
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.1015,2.01,2026-02-09 09:28
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.0960,1.50,2026-02-09 09:42
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.0971,1.60,2026-02-09 09:58
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.0965,1.55,2026-02-09 10:13
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.1001,1.88,2026-02-09 10:29
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.1002,1.89,2026-02-09 10:42
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.0969,1.58,2026-02-09 10:58
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.0986,1.74,2026-02-09 11:13
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.0976,1.65,2026-02-09 11:28
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.0975,1.64,2026-02-09 11:30
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.0987,1.75,2026-02-09 13:16
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.0997,1.84,2026-02-09 13:31
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.0983,1.71,2026-02-09 13:47
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.0999,1.86,2026-02-09 14:01
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.1009,1.95,2026-02-09 14:17
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.1019,2.05,2026-02-09 14:32
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.1036,2.20,2026-02-09 14:47
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.1018,2.04,2026-02-09 15:00
006787,泰康港股通大消费指数C,2026-02-06,1.0798,1.1002,1.89,2026-02-09 15:00
006787,泰康港股通大消费指数C,2026-02-09,1.0972,1.1007,0.32,2026-02-10 09:33
006787,泰康港股通大消费指数C,2026-02-09,1.0972,1.1007,0.32,2026-02-10 09:33
006787,泰康港股通大消费指数C,2026-02-09,1.0972,1.1107,1.23,2026-02-10 09:49
006787,泰康港股通大消费指数C,2026-02-09,1.0972,1.1135,1.49,2026-02-10 10:04
006787,泰康港股通大消费指数C,2026-02-09,1.0972,1.1125,1.39,2026-02-10 10:19
006787,泰康港股通大消费指数C,2026-02-09,1.0972,1.1103,1.19,2026-02-10 10:34
