发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.1649,1.1649,-0.17,开放申购,开放赎回
2026-02-26,1.1669,1.1669,1.65,开放申购,开放赎回
2026-02-25,1.1480,1.1480,0.31,开放申购,开放赎回
2026-02-24,1.1444,1.1444,0.93,开放申购,开放赎回
2026-02-13,1.1339,1.1339,1.22,开放申购,开放赎回
2026-02-12,1.1202,1.1202,1.61,开放申购,开放赎回
2026-02-11,1.1025,1.1025,-1.41,开放申购,开放赎回
2026-02-10,1.1183,1.1183,0.49,开放申购,开放赎回
2026-02-09,1.1129,1.1129,0.74,开放申购,开放赎回
2026-02-06,1.1047,1.1047,-1.93,开放申购,开放赎回
2026-02-05,1.1264,1.1264,-0.35,开放申购,开放赎回
2026-02-04,1.1304,1.1304,1.24,开放申购,开放赎回
2026-02-03,1.1166,1.1166,4.39,开放申购,开放赎回
2026-02-02,1.0696,1.0696,-2.15,开放申购,开放赎回
2026-01-30,1.0931,1.0931,-2.64,开放申购,开放赎回
2026-01-29,1.1227,1.1227,-1.23,开放申购,开放赎回
2026-01-28,1.1367,1.1367,-1.41,开放申购,开放赎回
2026-01-27,1.1530,1.1530,2.86,开放申购,开放赎回
2026-01-26,1.1209,1.1209,-3.20,开放申购,开放赎回
2026-01-23,1.1580,1.1580,0.54,开放申购,开放赎回
2026-01-22,1.1518,1.1518,3.24,开放申购,开放赎回
2026-01-21,1.1157,1.1157,0.43,开放申购,开放赎回
2026-01-20,1.1109,1.1109,-1.10,开放申购,开放赎回
2026-01-19,1.1232,1.1232,3.78,开放申购,开放赎回
2026-01-16,1.0823,1.0823,-0.62,开放申购,开放赎回
2026-01-15,1.0890,1.0890,-0.90,开放申购,开放赎回
2026-01-14,1.0989,1.0989,-0.48,开放申购,开放赎回
2026-01-13,1.1042,1.1042,-4.36,开放申购,开放赎回
2026-01-12,1.1545,1.1545,3.88,开放申购,开放赎回
2026-01-09,1.1114,1.1114,2.40,开放申购,开放赎回
2026-01-08,1.0853,1.0853,3.83,开放申购,开放赎回
2026-01-07,1.0453,1.0453,-0.67,开放申购,开放赎回
2026-01-06,1.0524,1.0524,2.91,开放申购,开放赎回
2026-01-05,1.0226,1.0226,1.33,开放申购,开放赎回
2025-12-31,1.0092,1.0092,1.34,开放申购,开放赎回
2025-12-30,0.9959,0.9959,-0.56,开放申购,开放赎回
2025-12-29,1.0015,1.0015,1.43,开放申购,开放赎回
2025-12-26,0.9874,0.9874,0.26,开放申购,开放赎回
2025-12-25,0.9848,0.9848,2.95,开放申购,开放赎回
2025-12-24,0.9566,0.9566,2.09,开放申购,开放赎回
2025-12-23,0.9370,0.9370,-1.32,开放申购,开放赎回
2025-12-22,0.9495,0.9495,-0.17,开放申购,开放赎回
2025-12-19,0.9511,0.9511,1.74,开放申购,开放赎回
2025-12-18,0.9348,0.9348,1.39,开放申购,开放赎回
2025-12-17,0.9220,0.9220,0.34,开放申购,开放赎回
