发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.6826,1.6826,-0.65,开放申购,开放赎回
2026-02-26,1.6936,1.6936,1.20,开放申购,开放赎回
2026-02-25,1.6735,1.6735,0.42,开放申购,开放赎回
2026-02-24,1.6665,1.6665,0.36,开放申购,开放赎回
2026-02-13,1.6606,1.6606,0.02,开放申购,开放赎回
2026-02-12,1.6603,1.6603,1.76,开放申购,开放赎回
2026-02-11,1.6316,1.6316,-1.38,开放申购,开放赎回
2026-02-10,1.6545,1.6545,0.64,开放申购,开放赎回
2026-02-09,1.6439,1.6439,3.29,开放申购,开放赎回
2026-02-06,1.5916,1.5916,-0.92,开放申购,开放赎回
2026-02-05,1.6063,1.6063,-1.42,开放申购,开放赎回
2026-02-04,1.6294,1.6294,-1.91,开放申购,开放赎回
2026-02-03,1.6612,1.6612,1.32,开放申购,开放赎回
2026-02-02,1.6396,1.6396,-4.68,开放申购,开放赎回
2026-01-30,1.7201,1.7201,1.24,开放申购,开放赎回
2026-01-29,1.6991,1.6991,-3.95,开放申购,开放赎回
2026-01-28,1.7689,1.7689,1.47,开放申购,开放赎回
2026-01-27,1.7432,1.7432,1.77,开放申购,开放赎回
2026-01-26,1.7129,1.7129,-2.01,开放申购,开放赎回
2026-01-23,1.7481,1.7481,-0.07,开放申购,开放赎回
2026-01-22,1.7494,1.7494,-0.42,开放申购,开放赎回
2026-01-21,1.7567,1.7567,4.29,开放申购,开放赎回
2026-01-20,1.6845,1.6845,-0.83,开放申购,开放赎回
2026-01-19,1.6986,1.6986,0.03,开放申购,开放赎回
2026-01-16,1.6981,1.6981,3.03,开放申购,开放赎回
2026-01-15,1.6482,1.6482,1.12,开放申购,开放赎回
2026-01-14,1.6299,1.6299,1.48,开放申购,开放赎回
2026-01-13,1.6062,1.6062,-3.21,开放申购,开放赎回
2026-01-12,1.6594,1.6594,1.60,开放申购,开放赎回
2026-01-09,1.6332,1.6332,0.28,开放申购,开放赎回
2026-01-08,1.6286,1.6286,0.44,开放申购,开放赎回
2026-01-07,1.6215,1.6215,1.80,开放申购,开放赎回
2026-01-06,1.5928,1.5928,2.21,开放申购,开放赎回
2026-01-05,1.5583,1.5583,4.14,开放申购,开放赎回
2025-12-31,1.4964,1.4964,-1.33,开放申购,开放赎回
2025-12-30,1.5166,1.5166,1.00,开放申购,开放赎回
2025-12-29,1.5016,1.5016,0.03,开放申购,开放赎回
2025-12-26,1.5012,1.5012,-0.54,开放申购,开放赎回
2025-12-25,1.5094,1.5094,-0.25,开放申购,开放赎回
2025-12-24,1.5132,1.5132,1.13,开放申购,开放赎回
2025-12-23,1.4963,1.4963,0.89,开放申购,开放赎回
2025-12-22,1.4831,1.4831,3.09,开放申购,开放赎回
2025-12-19,1.4387,1.4387,-0.13,开放申购,开放赎回
2025-12-18,1.4406,1.4406,-0.85,开放申购,开放赎回
2025-12-17,1.4529,1.4529,2.34,开放申购,开放赎回
2025-12-16,1.4197,1.4197,-1.78,开放申购,开放赎回
2025-12-15,1.4454,1.4454,-2.43,开放申购,开放赎回
2025-12-12,1.4814,1.4814,1.30,开放申购,开放赎回
2025-12-11,1.4624,1.4624,-1.68,开放申购,开放赎回
2025-12-10,1.4874,1.4874,0.03,开放申购,开放赎回
2025-12-09,1.4869,1.4869,-0.08,开放申购,开放赎回
2025-12-08,1.4881,1.4881,2.28,开放申购,开放赎回
2025-12-05,1.4549,1.4549,-0.32,开放申购,开放赎回
2025-12-04,1.4596,1.4596,2.03,开放申购,开放赎回
2025-12-03,1.4306,1.4306,-0.59,开放申购,开放赎回
2025-12-02,1.4391,1.4391,-1.51,开放申购,开放赎回
2025-12-01,1.4612,1.4612,1.75,开放申购,开放赎回
2025-11-28,1.4360,1.4360,1.09,开放申购,开放赎回
2025-11-27,1.4205,1.4205,0.28,开放申购,开放赎回
2025-11-26,1.4166,1.4166,1.45,开放申购,开放赎回
2025-11-25,1.3964,1.3964,0.74,开放申购,开放赎回
2025-11-24,1.3861,1.3861,0.85,开放申购,开放赎回
2025-11-21,1.3744,1.3744,-4.05,开放申购,开放赎回
2025-11-20,1.4324,1.4324,-1.19,开放申购,开放赎回
2025-11-19,1.4496,1.4496,-0.89,开放申购,开放赎回
2025-11-18,1.4626,1.4626,0.86,开放申购,开放赎回
2025-11-17,1.4501,1.4501,-0.60,开放申购,开放赎回
2025-11-14,1.4588,1.4588,-3.42,开放申购,开放赎回
2025-11-13,1.5105,1.5105,1.61,开放申购,开放赎回
2025-11-12,1.4866,1.4866,-0.53,开放申购,开放赎回
2025-11-11,1.4945,1.4945,-1.77,开放申购,开放赎回
2025-11-10,1.5214,1.5214,-0.48,开放申购,开放赎回
2025-11-07,1.5287,1.5287,-1.29,开放申购,开放赎回
2025-11-06,1.5487,1.5487,3.83,开放申购,开放赎回
2025-11-05,1.4916,1.4916,-0.68,开放申购,开放赎回
2025-11-04,1.5018,1.5018,-0.50,开放申购,开放赎回
2025-11-03,1.5094,1.5094,-0.98,开放申购,开放赎回
2025-10-31,1.5243,1.5243,-3.79,开放申购,开放赎回
2025-10-30,1.5844,1.5844,-2.08,开放申购,开放赎回
2025-10-29,1.6180,1.6180,0.06,开放申购,开放赎回
