发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.5994,1.5994,0.02,开放申购,开放赎回
2026-02-26,1.5991,1.5991,2.11,开放申购,开放赎回
2026-02-25,1.5661,1.5661,1.54,开放申购,开放赎回
2026-02-24,1.5424,1.5424,0.56,开放申购,开放赎回
2026-02-13,1.5338,1.5338,-0.05,开放申购,开放赎回
2026-02-12,1.5345,1.5345,1.74,开放申购,开放赎回
2026-02-11,1.5082,1.5082,-1.01,开放申购,开放赎回
2026-02-10,1.5236,1.5236,0.08,开放申购,开放赎回
2026-02-09,1.5224,1.5224,2.14,开放申购,开放赎回
2026-02-06,1.4905,1.4905,-1.86,开放申购,开放赎回
2026-02-05,1.5187,1.5187,-0.96,开放申购,开放赎回
2026-02-04,1.5334,1.5334,0.31,开放申购,开放赎回
2026-02-03,1.5286,1.5286,3.92,开放申购,开放赎回
2026-02-02,1.4710,1.4710,-2.40,开放申购,开放赎回
2026-01-30,1.5072,1.5072,-1.71,开放申购,开放赎回
2026-01-29,1.5334,1.5334,-1.89,开放申购,开放赎回
2026-01-28,1.5630,1.5630,-1.69,开放申购,开放赎回
2026-01-27,1.5898,1.5898,1.92,开放申购,开放赎回
2026-01-26,1.5598,1.5598,-4.91,开放申购,开放赎回
2026-01-23,1.6404,1.6404,3.86,开放申购,开放赎回
2026-01-22,1.5795,1.5795,1.92,开放申购,开放赎回
2026-01-21,1.5498,1.5498,0.58,开放申购,开放赎回
2026-01-20,1.5409,1.5409,-2.21,开放申购,开放赎回
2026-01-19,1.5758,1.5758,0.71,开放申购,开放赎回
2026-01-16,1.5647,1.5647,-0.52,开放申购,开放赎回
2026-01-15,1.5729,1.5729,-3.70,开放申购,开放赎回
2026-01-14,1.6333,1.6333,0.60,开放申购,开放赎回
2026-01-13,1.6236,1.6236,-5.25,开放申购,开放赎回
2026-01-12,1.7136,1.7136,7.05,开放申购,开放赎回
2026-01-09,1.6008,1.6008,4.72,开放申购,开放赎回
2026-01-08,1.5286,1.5286,3.87,开放申购,开放赎回
2026-01-07,1.4716,1.4716,-0.64,开放申购,开放赎回
2026-01-06,1.4811,1.4811,1.70,开放申购,开放赎回
2026-01-05,1.4564,1.4564,2.61,开放申购,开放赎回
2025-12-31,1.4193,1.4193,1.21,开放申购,开放赎回
2025-12-30,1.4024,1.4024,-1.52,开放申购,开放赎回
2025-12-29,1.4240,1.4240,0.94,开放申购,开放赎回
2025-12-26,1.4108,1.4108,0.56,开放申购,开放赎回
2025-12-25,1.4029,1.4029,3.44,开放申购,开放赎回
2025-12-24,1.3563,1.3563,3.52,开放申购,开放赎回
2025-12-23,1.3102,1.3102,-1.27,开放申购,开放赎回
2025-12-22,1.3270,1.3270,0.58,开放申购,开放赎回
2025-12-19,1.3194,1.3194,0.57,开放申购,开放赎回
2025-12-18,1.3119,1.3119,0.32,开放申购,开放赎回
2025-12-17,1.3077,1.3077,0.93,开放申购,开放赎回
2025-12-16,1.2956,1.2956,-1.69,开放申购,开放赎回
2025-12-15,1.3179,1.3179,1.68,开放申购,开放赎回
2025-12-12,1.2961,1.2961,1.38,开放申购,开放赎回
2025-12-11,1.2785,1.2785,-0.46,开放申购,开放赎回
2025-12-10,1.2844,1.2844,0.83,开放申购,开放赎回
2025-12-09,1.2738,1.2738,-0.16,开放申购,开放赎回
2025-12-08,1.2759,1.2759,0.81,开放申购,开放赎回
2025-12-05,1.2657,1.2657,2.07,开放申购,开放赎回
2025-12-04,1.2400,1.2400,0.32,开放申购,开放赎回
2025-12-03,1.2360,1.2360,-0.48,开放申购,开放赎回
2025-12-02,1.2420,1.2420,-1.02,开放申购,开放赎回
2025-12-01,1.2548,1.2548,0.38,开放申购,开放赎回
2025-11-28,1.2500,1.2500,0.69,开放申购,开放赎回
2025-11-27,1.2414,1.2414,-0.32,开放申购,开放赎回
2025-11-26,1.2454,1.2454,-1.88,开放申购,开放赎回
2025-11-25,1.2692,1.2692,-0.04,开放申购,开放赎回
2025-11-24,1.2697,1.2697,3.14,开放申购,开放赎回
2025-11-21,1.2311,1.2311,-2.60,开放申购,开放赎回
2025-11-20,1.2640,1.2640,-0.59,开放申购,开放赎回
2025-11-19,1.2715,1.2715,0.00,开放申购,开放赎回
2025-11-18,1.2715,1.2715,-1.53,开放申购,开放赎回
2025-11-17,1.2912,1.2912,1.63,开放申购,开放赎回
2025-11-14,1.2705,1.2705,-0.94,开放申购,开放赎回
2025-11-13,1.2826,1.2826,1.55,开放申购,开放赎回
2025-11-12,1.2630,1.2630,-0.75,开放申购,开放赎回
2025-11-11,1.2725,1.2725,-1.06,开放申购,开放赎回
2025-11-10,1.2861,1.2861,-0.06,开放申购,开放赎回
2025-11-07,1.2869,1.2869,-1.56,开放申购,开放赎回
2025-11-06,1.3073,1.3073,1.53,开放申购,开放赎回
2025-11-05,1.2876,1.2876,-0.67,开放申购,开放赎回
2025-11-04,1.2963,1.2963,-1.83,开放申购,开放赎回
2025-11-03,1.3204,1.3204,-0.19,开放申购,开放赎回
2025-10-31,1.3229,1.3229,-1.99,开放申购,开放赎回
2025-10-30,1.3498,1.3498,-2.34,开放申购,开放赎回
2025-10-29,1.3822,1.3822,0.55,开放申购,开放赎回
2025-10-28,1.3746,1.3746,2.06,开放申购,开放赎回
2025-10-27,1.3468,1.3468,0.98,开放申购,开放赎回
2025-10-24,1.3337,1.3337,2.07,开放申购,开放赎回
2025-10-23,1.3066,1.3066,-0.69,开放申购,开放赎回
2025-10-22,1.3157,1.3157,-0.86,开放申购,开放赎回
2025-10-21,1.3271,1.3271,1.87,开放申购,开放赎回
2025-10-20,1.3028,1.3028,0.34,开放申购,开放赎回
2025-10-17,1.2984,1.2984,-3.69,开放申购,开放赎回
2025-10-16,1.3481,1.3481,-0.74,开放申购,开放赎回
2025-10-15,1.3581,1.3581,0.43,开放申购,开放赎回
2025-10-14,1.3523,1.3523,-3.51,开放申购,开放赎回
2025-10-13,1.4015,1.4015,0.42,开放申购,开放赎回
2025-10-10,1.3956,1.3956,-1.64,开放申购,开放赎回
2025-10-09,1.4189,1.4189,0.70,开放申购,开放赎回
2025-09-30,1.4091,1.4091,4.16,开放申购,开放赎回
2025-09-29,1.3528,1.3528,0.45,开放申购,开放赎回
2025-09-26,1.3467,1.3467,-0.07,开放申购,开放赎回
2025-09-25,1.3477,1.3477,-0.94,开放申购,开放赎回
2025-09-24,1.3605,1.3605,1.02,开放申购,开放赎回
2025-09-23,1.3467,1.3467,-0.46,开放申购,开放赎回
2025-09-22,1.3529,1.3529,0.05,开放申购,开放赎回
2025-09-19,1.3522,1.3522,1.91,开放申购,开放赎回
2025-09-18,1.3269,1.3269,0.02,开放申购,开放赎回
2025-09-17,1.3267,1.3267,1.01,开放申购,开放赎回
2025-09-16,1.3134,1.3134,0.12,开放申购,开放赎回
2025-09-15,1.3118,1.3118,-0.80,开放申购,开放赎回
2025-09-12,1.3224,1.3224,-0.85,开放申购,开放赎回
2025-09-11,1.3337,1.3337,2.78,开放申购,开放赎回
2025-09-10,1.2976,1.2976,1.20,开放申购,开放赎回
2025-09-09,1.2822,1.2822,-1.25,开放申购,开放赎回
2025-09-08,1.2984,1.2984,-0.10,开放申购,开放赎回
2025-09-05,1.2997,1.2997,1.75,开放申购,开放赎回
2025-09-04,1.2774,1.2774,-3.50,开放申购,开放赎回
2025-09-03,1.3237,1.3237,-4.22,开放申购,开放赎回
2025-09-02,1.3820,1.3820,-3.09,开放申购,开放赎回
2025-09-01,1.4260,1.4260,-0.55,开放申购,开放赎回
2025-08-29,1.4339,1.4339,-0.32,开放申购,开放赎回
2025-08-28,1.4385,1.4385,3.43,开放申购,开放赎回
2025-08-27,1.3908,1.3908,-1.58,开放申购,开放赎回
2025-08-26,1.4131,1.4131,-1.19,开放申购,开放赎回
