发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,2.2709,2.2859,3.28,开放申购,开放赎回
2026-02-26,2.1988,2.2138,-0.71,开放申购,开放赎回
2026-02-25,2.2146,2.2296,3.56,开放申购,开放赎回
2026-02-24,2.1384,2.1534,2.99,开放申购,开放赎回
2026-02-13,2.0763,2.0913,-3.36,开放申购,开放赎回
2026-02-12,2.1485,2.1635,0.64,开放申购,开放赎回
2026-02-11,2.1349,2.1499,2.57,开放申购,开放赎回
2026-02-10,2.0814,2.0964,-0.09,开放申购,开放赎回
2026-02-09,2.0832,2.0982,1.89,开放申购,开放赎回
2026-02-06,2.0445,2.0595,0.36,开放申购,开放赎回
2026-02-05,2.0372,2.0522,-4.77,开放申购,开放赎回
2026-02-04,2.1392,2.1542,0.22,开放申购,开放赎回
2026-02-03,2.1346,2.1496,3.08,开放申购,开放赎回
2026-02-02,2.0709,2.0859,-7.62,开放申购,开放赎回
2026-01-30,2.2417,2.2567,-7.58,开放申购,开放赎回
2026-01-29,2.4256,2.4406,1.84,开放申购,开放赎回
2026-01-28,2.3818,2.3968,5.65,开放申购,开放赎回
2026-01-27,2.2545,2.2695,-0.82,开放申购,开放赎回
2026-01-26,2.2732,2.2882,4.76,开放申购,开放赎回
2026-01-23,2.1699,2.1849,2.43,开放申购,开放赎回
2026-01-22,2.1184,2.1334,-0.72,开放申购,开放赎回
2026-01-21,2.1338,2.1488,2.70,开放申购,开放赎回
2026-01-20,2.0778,2.0928,0.37,开放申购,开放赎回
2026-01-19,2.0701,2.0851,0.26,开放申购,开放赎回
2026-01-16,2.0647,2.0797,-0.92,开放申购,开放赎回
2026-01-15,2.0838,2.0988,1.67,开放申购,开放赎回
2026-01-14,2.0496,2.0646,0.40,开放申购,开放赎回
2026-01-13,2.0415,2.0565,1.10,开放申购,开放赎回
2026-01-12,2.0193,2.0343,1.01,开放申购,开放赎回
2026-01-09,1.9992,2.0142,2.68,开放申购,开放赎回
2026-01-08,1.9470,1.9620,-1.91,开放申购,开放赎回
2026-01-07,1.9850,2.0000,0.54,开放申购,开放赎回
2026-01-06,1.9744,1.9894,3.81,开放申购,开放赎回
2026-01-05,1.9019,1.9169,2.57,开放申购,开放赎回
2025-12-31,1.8543,1.8693,0.88,开放申购,开放赎回
2025-12-30,1.8382,1.8532,1.69,开放申购,开放赎回
2025-12-29,1.8077,1.8227,-2.14,开放申购,开放赎回
2025-12-26,1.8472,1.8622,3.58,开放申购,开放赎回
2025-12-25,1.7834,1.7984,-0.85,开放申购,开放赎回
2025-12-24,1.7986,1.8136,0.39,开放申购,开放赎回
2025-12-23,1.7916,1.8066,0.57,开放申购,开放赎回
2025-12-22,1.7815,1.7965,2.14,开放申购,开放赎回
2025-12-19,1.7442,1.7592,2.00,开放申购,开放赎回
2025-12-18,1.7100,1.7250,-0.20,开放申购,开放赎回
2025-12-17,1.7135,1.7285,3.14,开放申购,开放赎回
2025-12-16,1.6614,1.6764,-2.49,开放申购,开放赎回
2025-12-15,1.7038,1.7188,-0.60,开放申购,开放赎回
2025-12-12,1.7140,1.7290,1.26,开放申购,开放赎回
2025-12-11,1.6926,1.7076,-0.72,开放申购,开放赎回
2025-12-10,1.7048,1.7198,0.91,开放申购,开放赎回
2025-12-09,1.6894,1.7044,-3.02,开放申购,开放赎回
2025-12-08,1.7420,1.7570,0.65,开放申购,开放赎回
2025-12-05,1.7308,1.7458,2.37,开放申购,开放赎回
2025-12-04,1.6907,1.7057,0.33,开放申购,开放赎回
2025-12-03,1.6851,1.7001,0.58,开放申购,开放赎回
2025-12-02,1.6753,1.6903,-1.38,开放申购,开放赎回
2025-12-01,1.6987,1.7137,2.88,开放申购,开放赎回
2025-11-28,1.6512,1.6662,1.57,开放申购,开放赎回
2025-11-27,1.6256,1.6406,0.23,开放申购,开放赎回
2025-11-26,1.6218,1.6368,-0.09,开放申购,开放赎回
2025-11-25,1.6232,1.6382,2.22,开放申购,开放赎回
2025-11-24,1.5879,1.6029,-0.84,开放申购,开放赎回
2025-11-21,1.6013,1.6163,-5.07,开放申购,开放赎回
2025-11-20,1.6868,1.7018,-0.35,开放申购,开放赎回
2025-11-19,1.6927,1.7077,2.64,开放申购,开放赎回
2025-11-18,1.6491,1.6641,-2.75,开放申购,开放赎回
2025-11-17,1.6958,1.7108,-0.32,开放申购,开放赎回
2025-11-14,1.7012,1.7162,-1.98,开放申购,开放赎回
2025-11-13,1.7355,1.7505,3.91,开放申购,开放赎回
2025-11-12,1.6702,1.6852,0.01,开放申购,开放赎回
2025-11-11,1.6700,1.6850,-1.32,开放申购,开放赎回
2025-11-10,1.6923,1.7073,0.47,开放申购,开放赎回
2025-11-07,1.6844,1.6994,0.69,开放申购,开放赎回
2025-11-06,1.6728,1.6878,3.04,开放申购,开放赎回
2025-11-05,1.6235,1.6385,0.48,开放申购,开放赎回
2025-11-04,1.6158,1.6308,-3.04,开放申购,开放赎回
2025-11-03,1.6665,1.6815,-1.24,开放申购,开放赎回
2025-10-31,1.6875,1.7025,-2.26,开放申购,开放赎回
2025-10-30,1.7266,1.7416,1.14,开放申购,开放赎回
2025-10-29,1.7072,1.7222,4.31,开放申购,开放赎回
2025-10-28,1.6367,1.6517,-3.02,开放申购,开放赎回
2025-10-27,1.6877,1.7027,2.33,开放申购,开放赎回
2025-10-24,1.6492,1.6642,1.61,开放申购,开放赎回
2025-10-23,1.6231,1.6381,1.12,开放申购,开放赎回
2025-10-22,1.6052,1.6202,-1.21,开放申购,开放赎回
2025-10-21,1.6249,1.6399,1.45,开放申购,开放赎回
2025-10-20,1.6017,1.6167,-1.43,开放申购,开放赎回
2025-10-17,1.6250,1.6400,-1.81,开放申购,开放赎回
2025-10-16,1.6550,1.6700,-2.09,开放申购,开放赎回
2025-10-15,1.6904,1.7054,0.82,开放申购,开放赎回
2025-10-14,1.6766,1.6916,-3.69,开放申购,开放赎回
2025-10-13,1.7408,1.7558,3.53,开放申购,开放赎回
2025-10-10,1.6814,1.6964,-2.54,开放申购,开放赎回
2025-10-09,1.7253,1.7403,7.67,开放申购,开放赎回
2025-09-30,1.6024,1.6174,3.45,开放申购,开放赎回
2025-09-29,1.5489,1.5639,3.59,开放申购,开放赎回
2025-09-26,1.4952,1.5102,0.11,开放申购,开放赎回
2025-09-25,1.4935,1.5085,1.76,开放申购,开放赎回
2025-09-24,1.4677,1.4827,1.35,开放申购,开放赎回
2025-09-23,1.4481,1.4631,-0.81,开放申购,开放赎回
2025-09-22,1.4599,1.4749,0.98,开放申购,开放赎回
2025-09-19,1.4458,1.4608,1.17,开放申购,开放赎回
2025-09-18,1.4291,1.4441,-3.50,开放申购,开放赎回
2025-09-17,1.4809,1.4959,0.24,开放申购,开放赎回
2025-09-16,1.4773,1.4923,-1.24,开放申购,开放赎回
2025-09-15,1.4959,1.5109,-0.64,限制大额申购,开放赎回
2025-09-12,1.5207,1.5207,2.24,限制大额申购,开放赎回
2025-09-11,1.4874,1.4874,1.70,限制大额申购,开放赎回
2025-09-10,1.4625,1.4625,-1.09,限制大额申购,开放赎回
2025-09-09,1.4786,1.4786,0.80,开放申购,开放赎回
2025-09-08,1.4669,1.4669,-0.10,开放申购,开放赎回
2025-09-05,1.4684,1.4684,4.19,开放申购,开放赎回
2025-09-04,1.4093,1.4093,-3.82,开放申购,开放赎回
