发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.3999,1.3999,1.03,开放申购,开放赎回
2026-02-26,1.3856,1.3856,1.47,开放申购,开放赎回
2026-02-25,1.3655,1.3655,2.44,开放申购,开放赎回
2026-02-24,1.3330,1.3330,-0.17,开放申购,开放赎回
2026-02-13,1.3353,1.3353,-0.98,开放申购,开放赎回
2026-02-12,1.3485,1.3485,-0.19,开放申购,开放赎回
2026-02-11,1.3511,1.3511,-1.16,开放申购,开放赎回
2026-02-10,1.3670,1.3670,-1.70,开放申购,开放赎回
2026-02-09,1.3907,1.3907,2.45,开放申购,开放赎回
2026-02-06,1.3574,1.3574,-1.54,开放申购,开放赎回
2026-02-05,1.3787,1.3787,-2.09,开放申购,开放赎回
2026-02-04,1.4082,1.4082,-1.73,开放申购,开放赎回
2026-02-03,1.4330,1.4330,4.31,开放申购,开放赎回
2026-02-02,1.3738,1.3738,-1.98,开放申购,开放赎回
2026-01-30,1.4016,1.4016,-1.25,开放申购,开放赎回
2026-01-29,1.4193,1.4193,-1.40,开放申购,开放赎回
2026-01-28,1.4394,1.4394,-1.97,开放申购,开放赎回
2026-01-27,1.4683,1.4683,0.65,开放申购,开放赎回
2026-01-26,1.4588,1.4588,-7.07,开放申购,开放赎回
2026-01-23,1.5698,1.5698,8.62,开放申购,开放赎回
2026-01-22,1.4452,1.4452,3.47,开放申购,开放赎回
2026-01-21,1.3967,1.3967,-0.85,开放申购,开放赎回
2026-01-20,1.4087,1.4087,-4.14,开放申购,开放赎回
2026-01-19,1.4696,1.4696,0.61,开放申购,开放赎回
2026-01-16,1.4607,1.4607,-0.65,开放申购,开放赎回
2026-01-15,1.4702,1.4702,-8.03,开放申购,开放赎回
2026-01-14,1.5985,1.5985,0.11,开放申购,开放赎回
2026-01-13,1.5968,1.5968,-4.84,开放申购,开放赎回
2026-01-12,1.6781,1.6781,7.36,开放申购,开放赎回
2026-01-09,1.5631,1.5631,3.28,开放申购,开放赎回
2026-01-08,1.5135,1.5135,3.17,开放申购,开放赎回
2026-01-07,1.4670,1.4670,-0.31,开放申购,开放赎回
2026-01-06,1.4716,1.4716,4.63,开放申购,开放赎回
2026-01-05,1.4065,1.4065,2.96,开放申购,开放赎回
2025-12-31,1.3660,1.3660,5.55,开放申购,开放赎回
2025-12-30,1.2942,1.2942,-0.68,开放申购,开放赎回
2025-12-29,1.3030,1.3030,1.60,开放申购,开放赎回
2025-12-26,1.2825,1.2825,3.29,开放申购,开放赎回
2025-12-25,1.2417,1.2417,4.57,开放申购,开放赎回
2025-12-24,1.1874,1.1874,4.09,开放申购,开放赎回
2025-12-23,1.1407,1.1407,-3.36,开放申购,开放赎回
2025-12-22,1.1804,1.1804,1.18,开放申购,开放赎回
2025-12-19,1.1666,1.1666,0.79,开放申购,开放赎回
2025-12-18,1.1575,1.1575,2.88,开放申购,开放赎回
2025-12-17,1.1251,1.1251,-0.35,开放申购,开放赎回
2025-12-16,1.1291,1.1291,0.80,开放申购,开放赎回
2025-12-15,1.1201,1.1201,1.61,开放申购,开放赎回
2025-12-12,1.1024,1.1024,1.41,开放申购,开放赎回
2025-12-11,1.0871,1.0871,1.09,开放申购,开放赎回
2025-12-10,1.0754,1.0754,1.50,开放申购,开放赎回
2025-12-09,1.0595,1.0595,-0.38,开放申购,开放赎回
2025-12-08,1.0635,1.0635,1.19,开放申购,开放赎回
2025-12-05,1.0510,1.0510,2.79,开放申购,开放赎回
2025-12-04,1.0225,1.0225,2.21,开放申购,开放赎回
2025-12-03,1.0004,1.0004,-1.37,开放申购,开放赎回
2025-12-02,1.0143,1.0143,-0.26,开放申购,开放赎回
2025-12-01,1.0169,1.0169,1.50,开放申购,开放赎回
2025-11-28,1.0019,1.0019,2.10,开放申购,开放赎回
2025-11-27,0.9813,0.9813,0.01,开放申购,开放赎回
2025-11-26,0.9812,0.9812,-1.33,开放申购,开放赎回
2025-11-25,0.9944,0.9944,-0.55,开放申购,开放赎回
2025-11-24,0.9999,0.9999,0.00,开放申购,开放赎回
2025-11-21,0.9999,0.9999,,封闭期,封闭期
2025-11-17,1.0000,1.0000,,封闭期,封闭期
