发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,2.7749,2.7749,-1.43,开放申购,开放赎回
2026-02-26,2.8151,2.8151,2.46,开放申购,开放赎回
2026-02-25,2.7475,2.7475,0.41,开放申购,开放赎回
2026-02-24,2.7364,2.7364,3.02,开放申购,开放赎回
2026-02-13,2.6562,2.6562,-2.14,开放申购,开放赎回
2026-02-12,2.7144,2.7144,1.64,开放申购,开放赎回
2026-02-11,2.6705,2.6705,-2.04,开放申购,开放赎回
2026-02-10,2.7262,2.7262,0.09,开放申购,开放赎回
2026-02-09,2.7238,2.7238,5.28,开放申购,开放赎回
2026-02-06,2.5871,2.5871,-0.71,开放申购,开放赎回
2026-02-05,2.6057,2.6057,-2.32,开放申购,开放赎回
2026-02-04,2.6677,2.6677,-2.91,开放申购,开放赎回
2026-02-03,2.7476,2.7476,2.69,开放申购,开放赎回
2026-02-02,2.6757,2.6757,-2.78,开放申购,开放赎回
2026-01-30,2.7521,2.7521,3.01,开放申购,开放赎回
2026-01-29,2.6718,2.6718,-1.34,开放申购,开放赎回
2026-01-28,2.7082,2.7082,0.55,开放申购,开放赎回
2026-01-27,2.6935,2.6935,2.38,开放申购,开放赎回
2026-01-26,2.6310,2.6310,-0.96,开放申购,开放赎回
2026-01-23,2.6564,2.6564,-0.84,开放申购,开放赎回
2026-01-22,2.6789,2.6789,2.49,开放申购,开放赎回
2026-01-21,2.6137,2.6137,1.00,开放申购,开放赎回
2026-01-20,2.5879,2.5879,-3.01,开放申购,开放赎回
2026-01-19,2.6681,2.6681,-1.38,开放申购,开放赎回
2026-01-16,2.7053,2.7053,0.48,开放申购,开放赎回
2026-01-15,2.6925,2.6925,0.62,开放申购,开放赎回
2026-01-14,2.6758,2.6758,1.63,开放申购,开放赎回
2026-01-13,2.6330,2.6330,-3.29,开放申购,开放赎回
2026-01-12,2.7227,2.7227,2.47,开放申购,开放赎回
2026-01-09,2.6571,2.6571,0.26,开放申购,开放赎回
2026-01-08,2.6502,2.6502,-0.78,开放申购,开放赎回
2026-01-07,2.6710,2.6710,0.94,开放申购,开放赎回
2026-01-06,2.6462,2.6462,-0.38,开放申购,开放赎回
2026-01-05,2.6562,2.6562,1.75,开放申购,开放赎回
2025-12-31,2.6105,2.6105,-1.03,开放申购,开放赎回
2025-12-30,2.6376,2.6376,0.13,开放申购,开放赎回
2025-12-29,2.6342,2.6342,0.16,开放申购,开放赎回
2025-12-26,2.6301,2.6301,-0.91,开放申购,开放赎回
2025-12-25,2.6543,2.6543,0.15,开放申购,开放赎回
2025-12-24,2.6504,2.6504,1.81,开放申购,开放赎回
2025-12-23,2.6034,2.6034,-0.04,开放申购,开放赎回
2025-12-22,2.6045,2.6045,4.36,开放申购,开放赎回
2025-12-19,2.4957,2.4957,0.61,开放申购,开放赎回
2025-12-18,2.4805,2.4805,-1.72,开放申购,开放赎回
2025-12-17,2.5239,2.5239,5.32,开放申购,开放赎回
2025-12-16,2.3964,2.3964,-2.76,开放申购,开放赎回
2025-12-15,2.4645,2.4645,-2.28,开放申购,开放赎回
2025-12-12,2.5220,2.5220,1.16,开放申购,开放赎回
2025-12-11,2.4930,2.4930,-3.51,开放申购,开放赎回
2025-12-10,2.5837,2.5837,0.76,开放申购,开放赎回
2025-12-09,2.5642,2.5642,3.05,开放申购,开放赎回
2025-12-08,2.4884,2.4884,5.10,开放申购,开放赎回
2025-12-05,2.3677,2.3677,1.06,开放申购,开放赎回
2025-12-04,2.3429,2.3429,0.68,开放申购,开放赎回
2025-12-03,2.3271,2.3271,-0.78,开放申购,开放赎回
2025-12-02,2.3453,2.3453,0.71,开放申购,开放赎回
2025-12-01,2.3288,2.3288,2.58,开放申购,开放赎回
2025-11-28,2.2703,2.2703,0.29,开放申购,开放赎回
2025-11-27,2.2637,2.2637,0.51,开放申购,开放赎回
2025-11-26,2.2523,2.2523,5.57,开放申购,开放赎回
2025-11-25,2.1334,2.1334,3.39,开放申购,开放赎回
2025-11-24,2.0635,2.0635,-1.18,开放申购,开放赎回
2025-11-21,2.0881,2.0881,-5.25,开放申购,开放赎回
2025-11-20,2.2038,2.2038,0.47,开放申购,开放赎回
2025-11-19,2.1935,2.1935,1.04,开放申购,开放赎回
2025-11-18,2.1709,2.1709,-0.29,开放申购,开放赎回
2025-11-17,2.1773,2.1773,1.00,开放申购,开放赎回
2025-11-14,2.1557,2.1557,-3.15,开放申购,开放赎回
2025-11-13,2.2258,2.2258,-0.50,开放申购,开放赎回
2025-11-12,2.2370,2.2370,0.74,开放申购,开放赎回
2025-11-11,2.2205,2.2205,-2.95,开放申购,开放赎回
2025-11-10,2.2880,2.2880,-0.94,开放申购,开放赎回
2025-11-07,2.3097,2.3097,-1.10,开放申购,开放赎回
2025-11-06,2.3354,2.3354,2.38,开放申购,开放赎回
2025-11-05,2.2812,2.2812,-0.10,开放申购,开放赎回
2025-11-04,2.2835,2.2835,-1.22,开放申购,开放赎回
2025-11-03,2.3116,2.3116,1.03,开放申购,开放赎回
2025-10-31,2.2881,2.2881,-5.04,开放申购,开放赎回
2025-10-30,2.4096,2.4096,-3.23,开放申购,开放赎回
2025-10-29,2.4901,2.4901,1.55,开放申购,开放赎回
2025-10-28,2.4521,2.4521,0.45,开放申购,开放赎回
2025-10-27,2.4410,2.4410,4.53,开放申购,开放赎回
2025-10-24,2.3353,2.3353,5.58,开放申购,开放赎回
2025-10-23,2.2118,2.2118,-1.73,开放申购,开放赎回
2025-10-22,2.2507,2.2507,-0.77,开放申购,开放赎回
2025-10-21,2.2681,2.2681,6.49,开放申购,开放赎回
2025-10-20,2.1299,2.1299,3.47,开放申购,开放赎回
2025-10-17,2.0585,2.0585,-3.23,开放申购,开放赎回
2025-10-16,2.1271,2.1271,0.89,开放申购,开放赎回
2025-10-15,2.1083,2.1083,2.37,开放申购,开放赎回
2025-10-14,2.0595,2.0595,-6.06,开放申购,开放赎回
2025-10-13,2.1923,2.1923,-1.20,开放申购,开放赎回
2025-10-10,2.2190,2.2190,-2.20,开放申购,开放赎回
2025-10-09,2.2690,2.2690,0.94,开放申购,开放赎回
2025-09-30,2.2479,2.2479,-2.02,开放申购,开放赎回
2025-09-29,2.2942,2.2942,1.41,开放申购,开放赎回
2025-09-26,2.2623,2.2623,-2.96,开放申购,开放赎回
2025-09-25,2.3314,2.3314,2.43,开放申购,开放赎回
2025-09-24,2.2762,2.2762,-0.61,开放申购,开放赎回
2025-09-23,2.2901,2.2901,0.73,开放申购,开放赎回
2025-09-22,2.2736,2.2736,1.21,开放申购,开放赎回
2025-09-19,2.2464,2.2464,1.23,开放申购,开放赎回
2025-09-18,2.2192,2.2192,1.41,开放申购,开放赎回
2025-09-17,2.1883,2.1883,0.61,开放申购,开放赎回
2025-09-16,2.1751,2.1751,0.51,开放申购,开放赎回
2025-09-15,2.1640,2.1640,-1.66,开放申购,开放赎回
2025-09-12,2.2006,2.2006,-2.01,开放申购,开放赎回
2025-09-11,2.2457,2.2457,8.95,开放申购,开放赎回
2025-09-10,2.0612,2.0612,4.39,开放申购,开放赎回
2025-09-09,1.9746,1.9746,-1.75,开放申购,开放赎回
2025-09-08,2.0098,2.0098,-4.88,开放申购,开放赎回
2025-09-05,2.1129,2.1129,6.64,开放申购,开放赎回
2025-09-04,1.9814,1.9814,-8.70,开放申购,开放赎回
2025-09-03,2.1701,2.1701,1.96,开放申购,开放赎回
2025-09-02,2.1283,2.1283,-5.06,开放申购,开放赎回
2025-09-01,2.2417,2.2417,5.18,开放申购,开放赎回
2025-08-29,2.1313,2.1313,0.68,开放申购,开放赎回
2025-08-28,2.1168,2.1168,8.09,开放申购,开放赎回
2025-08-27,1.9584,1.9584,1.77,开放申购,开放赎回
2025-08-26,1.9244,1.9244,-1.19,开放申购,开放赎回
