发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,0.7850,0.7850,0.85,开放申购,开放赎回
2026-02-26,0.7784,0.7784,-1.07,开放申购,开放赎回
2026-02-25,0.7868,0.7868,1.82,开放申购,开放赎回
2026-02-24,0.7727,0.7727,1.20,开放申购,开放赎回
2026-02-13,0.7635,0.7635,-2.07,开放申购,开放赎回
2026-02-12,0.7796,0.7796,1.39,开放申购,开放赎回
2026-02-11,0.7689,0.7689,0.69,开放申购,开放赎回
2026-02-10,0.7636,0.7636,-0.72,开放申购,开放赎回
2026-02-09,0.7691,0.7691,2.03,开放申购,开放赎回
2026-02-06,0.7538,0.7538,1.21,开放申购,开放赎回
2026-02-05,0.7448,0.7448,-3.80,开放申购,开放赎回
2026-02-04,0.7742,0.7742,1.75,开放申购,开放赎回
2026-02-03,0.7609,0.7609,3.43,开放申购,开放赎回
2026-02-02,0.7357,0.7357,-1.80,开放申购,开放赎回
2026-01-30,0.7492,0.7492,-1.63,开放申购,开放赎回
2026-01-29,0.7616,0.7616,-1.72,开放申购,开放赎回
2026-01-28,0.7749,0.7749,-0.87,开放申购,开放赎回
2026-01-27,0.7817,0.7817,-0.50,开放申购,开放赎回
2026-01-26,0.7856,0.7856,-0.88,开放申购,开放赎回
2026-01-23,0.7926,0.7926,4.47,开放申购,开放赎回
2026-01-22,0.7587,0.7587,-0.16,开放申购,开放赎回
2026-01-21,0.7599,0.7599,0.98,开放申购,开放赎回
2026-01-20,0.7525,0.7525,-2.04,开放申购,开放赎回
2026-01-19,0.7682,0.7682,0.88,开放申购,开放赎回
2026-01-16,0.7615,0.7615,0.17,开放申购,开放赎回
2026-01-15,0.7602,0.7602,1.21,开放申购,开放赎回
2026-01-14,0.7511,0.7511,-0.08,开放申购,开放赎回
2026-01-13,0.7517,0.7517,-0.45,开放申购,开放赎回
2026-01-12,0.7551,0.7551,0.55,开放申购,开放赎回
2026-01-09,0.7510,0.7510,0.63,开放申购,开放赎回
2026-01-08,0.7463,0.7463,-0.25,开放申购,开放赎回
2026-01-07,0.7482,0.7482,0.59,开放申购,开放赎回
2026-01-06,0.7438,0.7438,1.79,开放申购,开放赎回
2026-01-05,0.7307,0.7307,2.04,开放申购,开放赎回
2025-12-31,0.7161,0.7161,-1.25,开放申购,开放赎回
2025-12-30,0.7252,0.7252,0.21,开放申购,开放赎回
2025-12-29,0.7237,0.7237,-1.79,开放申购,开放赎回
2025-12-26,0.7369,0.7369,2.29,开放申购,开放赎回
2025-12-25,0.7204,0.7204,0.10,开放申购,开放赎回
2025-12-24,0.7197,0.7197,0.43,开放申购,开放赎回
2025-12-23,0.7166,0.7166,1.39,开放申购,开放赎回
2025-12-22,0.7068,0.7068,1.17,开放申购,开放赎回
2025-12-19,0.6986,0.6986,0.92,开放申购,开放赎回
2025-12-18,0.6922,0.6922,-1.72,开放申购,开放赎回
2025-12-17,0.7043,0.7043,2.88,开放申购,开放赎回
2025-12-16,0.6846,0.6846,-2.21,开放申购,开放赎回
2025-12-15,0.7001,0.7001,-1.39,开放申购,开放赎回
2025-12-12,0.7100,0.7100,0.74,开放申购,开放赎回
2025-12-11,0.7048,0.7048,-0.41,开放申购,开放赎回
2025-12-10,0.7077,0.7077,-0.63,开放申购,开放赎回
2025-12-09,0.7122,0.7122,-0.45,开放申购,开放赎回
2025-12-08,0.7154,0.7154,1.55,开放申购,开放赎回
2025-12-05,0.7045,0.7045,1.22,开放申购,开放赎回
2025-12-04,0.6960,0.6960,0.24,开放申购,开放赎回
2025-12-03,0.6943,0.6943,-0.90,开放申购,开放赎回
2025-12-02,0.7006,0.7006,-1.23,开放申购,开放赎回
2025-12-01,0.7093,0.7093,0.24,开放申购,开放赎回
2025-11-28,0.7076,0.7076,1.38,开放申购,开放赎回
2025-11-27,0.6980,0.6980,-0.13,开放申购,开放赎回
2025-11-26,0.6989,0.6989,0.27,开放申购,开放赎回
2025-11-25,0.6970,0.6970,1.77,开放申购,开放赎回
2025-11-24,0.6849,0.6849,-0.71,开放申购,开放赎回
2025-11-21,0.6898,0.6898,-5.89,开放申购,开放赎回
2025-11-20,0.7330,0.7330,-1.53,开放申购,开放赎回
2025-11-19,0.7444,0.7444,0.57,开放申购,开放赎回
2025-11-18,0.7402,0.7402,-2.91,开放申购,开放赎回
2025-11-17,0.7624,0.7624,0.24,开放申购,开放赎回
2025-11-14,0.7606,0.7606,-1.67,开放申购,开放赎回
2025-11-13,0.7735,0.7735,4.01,开放申购,开放赎回
2025-11-12,0.7437,0.7437,-2.56,开放申购,开放赎回
2025-11-11,0.7632,0.7632,-0.64,开放申购,开放赎回
2025-11-10,0.7681,0.7681,-1.15,开放申购,开放赎回
2025-11-07,0.7770,0.7770,1.54,开放申购,开放赎回
2025-11-06,0.7652,0.7652,1.78,开放申购,开放赎回
2025-11-05,0.7518,0.7518,3.13,开放申购,开放赎回
2025-11-04,0.7290,0.7290,-2.47,开放申购,开放赎回
2025-11-03,0.7475,0.7475,0.78,开放申购,开放赎回
2025-10-31,0.7417,0.7417,-1.36,开放申购,开放赎回
2025-10-30,0.7519,0.7519,0.59,开放申购,开放赎回
2025-10-29,0.7475,0.7475,6.01,开放申购,开放赎回
2025-10-28,0.7051,0.7051,-0.72,开放申购,开放赎回
2025-10-27,0.7102,0.7102,1.04,开放申购,开放赎回
2025-10-24,0.7029,0.7029,1.91,开放申购,开放赎回
2025-10-23,0.6897,0.6897,1.16,开放申购,开放赎回
2025-10-22,0.6818,0.6818,-1.26,开放申购,开放赎回
2025-10-21,0.6905,0.6905,1.48,开放申购,开放赎回
2025-10-20,0.6804,0.6804,0.49,开放申购,开放赎回
2025-10-17,0.6771,0.6771,-4.49,开放申购,开放赎回
2025-10-16,0.7089,0.7089,0.47,开放申购,开放赎回
2025-10-15,0.7056,0.7056,1.86,开放申购,开放赎回
2025-10-14,0.6927,0.6927,-1.91,开放申购,开放赎回
2025-10-13,0.7062,0.7062,0.43,开放申购,开放赎回
2025-10-10,0.7032,0.7032,-4.70,开放申购,开放赎回
2025-10-09,0.7379,0.7379,2.90,开放申购,开放赎回
2025-09-30,0.7171,0.7171,2.40,开放申购,开放赎回
2025-09-29,0.7003,0.7003,3.00,开放申购,开放赎回
2025-09-26,0.6799,0.6799,-0.83,开放申购,开放赎回
2025-09-25,0.6856,0.6856,1.44,开放申购,开放赎回
2025-09-24,0.6759,0.6759,3.33,开放申购,开放赎回
2025-09-23,0.6541,0.6541,0.32,开放申购,开放赎回
2025-09-22,0.6520,0.6520,-0.18,开放申购,开放赎回
2025-09-19,0.6532,0.6532,0.14,开放申购,开放赎回
2025-09-18,0.6523,0.6523,-1.41,开放申购,开放赎回
2025-09-17,0.6616,0.6616,1.69,开放申购,开放赎回
2025-09-16,0.6506,0.6506,0.00,开放申购,开放赎回
2025-09-15,0.6506,0.6506,1.28,开放申购,开放赎回
2025-09-12,0.6424,0.6424,-0.83,开放申购,开放赎回
2025-09-11,0.6478,0.6478,2.16,开放申购,开放赎回
2025-09-10,0.6341,0.6341,-1.32,开放申购,开放赎回
2025-09-09,0.6426,0.6426,-1.00,开放申购,开放赎回
2025-09-08,0.6491,0.6491,1.25,开放申购,开放赎回
2025-09-05,0.6411,0.6411,7.21,开放申购,开放赎回
2025-09-04,0.5980,0.5980,0.18,开放申购,开放赎回
2025-09-03,0.5969,0.5969,1.88,开放申购,开放赎回
2025-09-02,0.5859,0.5859,-1.16,开放申购,开放赎回
2025-09-01,0.5928,0.5928,0.78,开放申购,开放赎回
2025-08-29,0.5882,0.5882,2.69,开放申购,开放赎回
2025-08-28,0.5728,0.5728,1.72,开放申购,开放赎回
2025-08-27,0.5631,0.5631,-1.61,开放申购,开放赎回
2025-08-26,0.5723,0.5723,-0.54,开放申购,开放赎回
