发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.2755,1.2755,0.22,开放申购,开放赎回
2026-02-26,1.2727,1.2727,0.46,开放申购,开放赎回
2026-02-25,1.2669,1.2669,0.12,开放申购,开放赎回
2026-02-24,1.2654,1.2654,-0.50,开放申购,开放赎回
2026-02-13,1.2718,1.2718,0.07,开放申购,开放赎回
2026-02-12,1.2709,1.2709,1.25,开放申购,开放赎回
2026-02-11,1.2552,1.2552,-1.11,开放申购,开放赎回
2026-02-10,1.2693,1.2693,0.96,开放申购,开放赎回
2026-02-09,1.2572,1.2572,1.56,开放申购,开放赎回
2026-02-06,1.2379,1.2379,0.51,开放申购,开放赎回
2026-02-05,1.2316,1.2316,-1.46,开放申购,开放赎回
2026-02-04,1.2499,1.2499,-0.69,开放申购,开放赎回
2026-02-03,1.2586,1.2586,2.63,开放申购,开放赎回
2026-02-02,1.2263,1.2263,-2.12,开放申购,开放赎回
2026-01-30,1.2529,1.2529,-0.44,开放申购,开放赎回
2026-01-29,1.2584,1.2584,-1.05,开放申购,开放赎回
2026-01-28,1.2717,1.2717,-1.95,开放申购,开放赎回
2026-01-27,1.2970,1.2970,0.39,开放申购,开放赎回
2026-01-26,1.2920,1.2920,-2.44,开放申购,开放赎回
2026-01-23,1.3243,1.3243,1.47,开放申购,开放赎回
2026-01-22,1.3051,1.3051,-0.28,开放申购,开放赎回
2026-01-21,1.3087,1.3087,1.63,开放申购,开放赎回
2026-01-20,1.2877,1.2877,-1.19,开放申购,开放赎回
2026-01-19,1.3032,1.3032,0.41,开放申购,开放赎回
2026-01-16,1.2979,1.2979,1.95,开放申购,开放赎回
2026-01-15,1.2731,1.2731,-0.04,开放申购,开放赎回
2026-01-14,1.2736,1.2736,0.27,开放申购,开放赎回
2026-01-13,1.2702,1.2702,-1.09,开放申购,开放赎回
2026-01-12,1.2842,1.2842,2.77,开放申购,开放赎回
2026-01-09,1.2496,1.2496,1.78,开放申购,开放赎回
2026-01-08,1.2278,1.2278,0.95,开放申购,开放赎回
2026-01-07,1.2162,1.2162,-0.75,开放申购,开放赎回
2026-01-06,1.2254,1.2254,0.31,开放申购,开放赎回
2026-01-05,1.2216,1.2216,1.79,开放申购,开放赎回
2025-12-31,1.2001,1.2001,-0.51,开放申购,开放赎回
2025-12-30,1.2062,1.2062,3.13,开放申购,开放赎回
2025-12-29,1.1696,1.1696,0.70,开放申购,开放赎回
2025-12-26,1.1615,1.1615,0.10,开放申购,开放赎回
2025-12-25,1.1603,1.1603,2.69,开放申购,开放赎回
2025-12-24,1.1299,1.1299,1.06,开放申购,开放赎回
2025-12-23,1.1180,1.1180,-0.80,开放申购,开放赎回
2025-12-22,1.1270,1.1270,1.39,开放申购,开放赎回
2025-12-19,1.1115,1.1115,0.89,开放申购,开放赎回
2025-12-18,1.1017,1.1017,-0.89,开放申购,开放赎回
2025-12-17,1.1116,1.1116,1.49,开放申购,开放赎回
2025-12-16,1.0953,1.0953,-1.85,开放申购,开放赎回
2025-12-15,1.1160,1.1160,-1.84,开放申购,开放赎回
2025-12-12,1.1369,1.1369,0.62,开放申购,开放赎回
2025-12-11,1.1299,1.1299,-1.88,开放申购,开放赎回
2025-12-10,1.1515,1.1515,0.52,开放申购,开放赎回
2025-12-09,1.1456,1.1456,-1.22,开放申购,开放赎回
2025-12-08,1.1597,1.1597,0.99,开放申购,开放赎回
2025-12-05,1.1483,1.1483,1.31,开放申购,开放赎回
2025-12-04,1.1334,1.1334,1.86,开放申购,开放赎回
2025-12-03,1.1127,1.1127,-0.79,开放申购,开放赎回
2025-12-02,1.1216,1.1216,-1.43,开放申购,开放赎回
2025-12-01,1.1379,1.1379,1.23,开放申购,开放赎回
2025-11-28,1.1241,1.1241,0.71,开放申购,开放赎回
2025-11-27,1.1162,1.1162,-0.04,开放申购,开放赎回
2025-11-26,1.1167,1.1167,-0.09,开放申购,开放赎回
2025-11-25,1.1177,1.1177,0.32,开放申购,开放赎回
2025-11-24,1.1141,1.1141,1.08,开放申购,开放赎回
2025-11-21,1.1022,1.1022,-1.60,开放申购,开放赎回
2025-11-20,1.1201,1.1201,-0.92,开放申购,开放赎回
2025-11-19,1.1305,1.1305,-0.89,开放申购,开放赎回
2025-11-18,1.1406,1.1406,-0.21,开放申购,开放赎回
2025-11-17,1.1430,1.1430,0.28,开放申购,开放赎回
2025-11-14,1.1398,1.1398,-1.32,开放申购,开放赎回
2025-11-13,1.1551,1.1551,0.71,开放申购,开放赎回
2025-11-12,1.1470,1.1470,-1.17,开放申购,开放赎回
2025-11-11,1.1606,1.1606,-0.79,开放申购,开放赎回
2025-11-10,1.1699,1.1699,-0.65,开放申购,开放赎回
2025-11-07,1.1775,1.1775,-1.68,开放申购,开放赎回
2025-11-06,1.1976,1.1976,1.79,开放申购,开放赎回
2025-11-05,1.1765,1.1765,-0.58,开放申购,开放赎回
2025-11-04,1.1834,1.1834,-2.29,开放申购,开放赎回
2025-11-03,1.2111,1.2111,-0.24,开放申购,开放赎回
2025-10-31,1.2140,1.2140,0.02,开放申购,开放赎回
2025-10-30,1.2137,1.2137,-1.46,开放申购,开放赎回
2025-10-29,1.2317,1.2317,0.96,开放申购,开放赎回
2025-10-28,1.2200,1.2200,-0.20,开放申购,开放赎回
2025-10-27,1.2224,1.2224,1.14,开放申购,开放赎回
2025-10-24,1.2086,1.2086,1.44,开放申购,开放赎回
2025-10-23,1.1914,1.1914,-0.06,开放申购,开放赎回
2025-10-22,1.1921,1.1921,0.08,开放申购,开放赎回
2025-10-21,1.1912,1.1912,1.68,开放申购,开放赎回
2025-10-20,1.1715,1.1715,1.35,开放申购,开放赎回
2025-10-17,1.1559,1.1559,-3.38,开放申购,开放赎回
2025-10-16,1.1963,1.1963,-1.85,开放申购,开放赎回
2025-10-15,1.2188,1.2188,2.33,开放申购,开放赎回
2025-10-14,1.1911,1.1911,-3.78,开放申购,开放赎回
2025-10-13,1.2379,1.2379,-2.07,开放申购,开放赎回
2025-10-10,1.2641,1.2641,-3.02,开放申购,开放赎回
2025-10-09,1.3034,1.3034,1.50,开放申购,开放赎回
2025-09-30,1.2841,1.2841,0.90,开放申购,开放赎回
2025-09-29,1.2727,1.2727,1.20,开放申购,开放赎回
2025-09-26,1.2576,1.2576,-3.13,开放申购,开放赎回
2025-09-25,1.2983,1.2983,0.22,开放申购,开放赎回
2025-09-24,1.2954,1.2954,2.87,开放申购,开放赎回
