发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.3680,1.3680,-0.15,开放申购,开放赎回
2026-02-26,1.3701,1.3701,2.93,开放申购,开放赎回
2026-02-25,1.3311,1.3311,0.55,开放申购,开放赎回
2026-02-24,1.3238,1.3238,3.98,开放申购,开放赎回
2026-02-13,1.2731,1.2731,-2.14,开放申购,开放赎回
2026-02-12,1.3009,1.3009,3.00,开放申购,开放赎回
2026-02-11,1.2630,1.2630,0.06,开放申购,开放赎回
2026-02-10,1.2623,1.2623,1.03,开放申购,开放赎回
2026-02-09,1.2494,1.2494,2.87,开放申购,开放赎回
2026-02-06,1.2146,1.2146,0.65,开放申购,开放赎回
2026-02-05,1.2068,1.2068,-4.54,开放申购,开放赎回
2026-02-04,1.2642,1.2642,0.41,开放申购,开放赎回
2026-02-03,1.2591,1.2591,3.51,开放申购,开放赎回
2026-02-02,1.2164,1.2164,1.28,开放申购,开放赎回
2026-01-30,1.2010,1.2010,0.06,开放申购,开放赎回
2026-01-29,1.2003,1.2003,-2.58,开放申购,开放赎回
2026-01-28,1.2321,1.2321,0.51,开放申购,开放赎回
2026-01-27,1.2259,1.2259,-0.95,开放申购,开放赎回
2026-01-26,1.2376,1.2376,0.40,开放申购,开放赎回
2026-01-23,1.2327,1.2327,0.94,开放申购,开放赎回
2026-01-22,1.2212,1.2212,-1.33,开放申购,开放赎回
2026-01-21,1.2377,1.2377,-0.91,开放申购,开放赎回
2026-01-20,1.2491,1.2491,-0.15,开放申购,开放赎回
2026-01-19,1.2510,1.2510,4.57,开放申购,开放赎回
2026-01-16,1.1963,1.1963,1.30,开放申购,开放赎回
2026-01-15,1.1810,1.1810,1.56,开放申购,开放赎回
2026-01-14,1.1629,1.1629,-0.70,开放申购,开放赎回
2026-01-13,1.1711,1.1711,2.32,开放申购,开放赎回
2026-01-12,1.1446,1.1446,0.69,开放申购,开放赎回
2026-01-09,1.1367,1.1367,1.80,开放申购,开放赎回
2026-01-08,1.1166,1.1166,0.10,开放申购,开放赎回
2026-01-07,1.1155,1.1155,1.67,开放申购,开放赎回
2026-01-06,1.0972,1.0972,0.90,开放申购,开放赎回
2026-01-05,1.0874,1.0874,1.62,开放申购,开放赎回
2025-12-31,1.0701,1.0701,-0.59,开放申购,开放赎回
2025-12-30,1.0764,1.0764,-0.42,开放申购,开放赎回
2025-12-29,1.0809,1.0809,-1.34,开放申购,开放赎回
2025-12-26,1.0956,1.0956,0.23,开放申购,开放赎回
2025-12-25,1.0931,1.0931,0.50,开放申购,开放赎回
2025-12-24,1.0877,1.0877,1.03,开放申购,开放赎回
2025-12-23,1.0766,1.0766,0.42,开放申购,开放赎回
2025-12-22,1.0721,1.0721,2.31,开放申购,开放赎回
2025-12-19,1.0479,1.0479,1.22,开放申购,开放赎回
2025-12-18,1.0353,1.0353,-1.63,开放申购,开放赎回
2025-12-17,1.0525,1.0525,1.59,开放申购,开放赎回
2025-12-16,1.0360,1.0360,-2.19,开放申购,开放赎回
2025-12-15,1.0592,1.0592,-0.34,开放申购,开放赎回
2025-12-12,1.0628,1.0628,3.06,开放申购,开放赎回
2025-12-11,1.0312,1.0312,-0.31,开放申购,开放赎回
2025-12-10,1.0344,1.0344,0.06,开放申购,开放赎回
2025-12-09,1.0338,1.0338,-0.14,开放申购,开放赎回
2025-12-08,1.0353,1.0353,0.37,开放申购,开放赎回
2025-12-05,1.0315,1.0315,2.74,开放申购,开放赎回
2025-12-04,1.0040,1.0040,0.16,开放申购,开放赎回
2025-12-03,1.0024,1.0024,-0.32,开放申购,开放赎回
2025-12-02,1.0056,1.0056,-0.98,开放申购,开放赎回
2025-12-01,1.0156,1.0156,0.91,开放申购,开放赎回
2025-11-28,1.0064,1.0064,,封闭期,封闭期
2025-11-25,1.0000,1.0000,,封闭期,封闭期
