发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.1131,1.1131,0.01,开放申购,开放赎回
2026-02-26,1.1130,1.1130,-1.36,开放申购,开放赎回
2026-02-25,1.1284,1.1284,0.45,开放申购,开放赎回
2026-02-24,1.1234,1.1234,-0.45,开放申购,开放赎回
2026-02-13,1.1285,1.1285,-1.15,开放申购,开放赎回
2026-02-12,1.1416,1.1416,-0.88,开放申购,开放赎回
2026-02-11,1.1517,1.1517,-0.39,开放申购,开放赎回
2026-02-10,1.1562,1.1562,-0.32,开放申购,开放赎回
2026-02-09,1.1599,1.1599,1.35,开放申购,开放赎回
2026-02-06,1.1445,1.1445,-0.63,开放申购,开放赎回
2026-02-05,1.1518,1.1518,0.12,开放申购,开放赎回
2026-02-04,1.1504,1.1504,1.25,开放申购,开放赎回
2026-02-03,1.1362,1.1362,-0.09,开放申购,开放赎回
2026-02-02,1.1372,1.1372,-1.40,开放申购,开放赎回
2026-01-30,1.1533,1.1533,-1.44,开放申购,开放赎回
2026-01-29,1.1702,1.1702,2.01,开放申购,开放赎回
2026-01-28,1.1471,1.1471,-0.15,开放申购,开放赎回
2026-01-27,1.1488,1.1488,-0.29,开放申购,开放赎回
2026-01-26,1.1521,1.1521,0.92,开放申购,开放赎回
2026-01-23,1.1416,1.1416,-0.54,开放申购,开放赎回
2026-01-22,1.1478,1.1478,-0.35,开放申购,开放赎回
2026-01-21,1.1518,1.1518,-0.73,开放申购,开放赎回
2026-01-20,1.1603,1.1603,0.45,开放申购,开放赎回
2026-01-19,1.1551,1.1551,-0.32,开放申购,开放赎回
2026-01-16,1.1588,1.1588,-1.03,开放申购,开放赎回
2026-01-15,1.1709,1.1709,-1.10,开放申购,开放赎回
2026-01-14,1.1839,1.1839,-0.90,开放申购,开放赎回
2026-01-13,1.1947,1.1947,-0.09,开放申购,开放赎回
2026-01-12,1.1958,1.1958,0.59,开放申购,开放赎回
2026-01-09,1.1888,1.1888,-0.23,开放申购,开放赎回
2026-01-08,1.1915,1.1915,-2.72,开放申购,开放赎回
2026-01-07,1.2248,1.2248,-1.07,开放申购,开放赎回
2026-01-06,1.2381,1.2381,3.77,开放申购,开放赎回
2026-01-05,1.1931,1.1931,2.92,开放申购,开放赎回
2025-12-31,1.1593,1.1593,-0.44,开放申购,开放赎回
2025-12-30,1.1644,1.1644,-0.51,开放申购,开放赎回
2025-12-29,1.1704,1.1704,-0.79,开放申购,开放赎回
2025-12-26,1.1797,1.1797,0.47,开放申购,开放赎回
2025-12-25,1.1742,1.1742,0.86,开放申购,开放赎回
2025-12-24,1.1642,1.1642,0.33,开放申购,开放赎回
2025-12-23,1.1604,1.1604,0.15,开放申购,开放赎回
2025-12-22,1.1587,1.1587,-0.03,开放申购,开放赎回
2025-12-19,1.1591,1.1591,0.34,开放申购,开放赎回
2025-12-18,1.1552,1.1552,-0.48,开放申购,开放赎回
2025-12-17,1.1608,1.1608,1.99,开放申购,开放赎回
2025-12-16,1.1381,1.1381,-0.69,开放申购,开放赎回
2025-12-15,1.1460,1.1460,1.29,开放申购,开放赎回
2025-12-12,1.1314,1.1314,0.93,开放申购,开放赎回
2025-12-11,1.1210,1.1210,-0.96,开放申购,开放赎回
2025-12-10,1.1319,1.1319,0.26,开放申购,开放赎回
2025-12-09,1.1290,1.1290,-1.29,开放申购,开放赎回
2025-12-08,1.1437,1.1437,1.85,开放申购,开放赎回
2025-12-05,1.1229,1.1229,3.21,开放申购,开放赎回
2025-12-04,1.0880,1.0880,0.32,开放申购,开放赎回
2025-12-03,1.0845,1.0845,-0.94,开放申购,开放赎回
2025-12-02,1.0948,1.0948,-0.61,开放申购,开放赎回
2025-12-01,1.1015,1.1015,0.15,开放申购,开放赎回
2025-11-28,1.0998,1.0998,0.17,开放申购,开放赎回
2025-11-27,1.0979,1.0979,0.00,开放申购,开放赎回
2025-11-26,1.0979,1.0979,-0.16,开放申购,开放赎回
2025-11-25,1.0997,1.0997,0.63,开放申购,开放赎回
2025-11-24,1.0928,1.0928,-0.07,开放申购,开放赎回
2025-11-21,1.0936,1.0936,-2.97,开放申购,开放赎回
2025-11-20,1.1271,1.1271,-0.42,开放申购,开放赎回
2025-11-19,1.1319,1.1319,0.41,开放申购,开放赎回
2025-11-18,1.1273,1.1273,-0.07,开放申购,开放赎回
2025-11-17,1.1281,1.1281,-1.13,开放申购,开放赎回
2025-11-14,1.1410,1.1410,-1.28,开放申购,开放赎回
2025-11-13,1.1558,1.1558,1.05,开放申购,开放赎回
2025-11-12,1.1438,1.1438,-0.02,开放申购,开放赎回
2025-11-11,1.1440,1.1440,-1.08,开放申购,开放赎回
2025-11-10,1.1565,1.1565,1.18,开放申购,开放赎回
2025-11-07,1.1430,1.1430,-0.66,开放申购,开放赎回
2025-11-06,1.1506,1.1506,1.22,开放申购,开放赎回
2025-11-05,1.1367,1.1367,-0.47,开放申购,开放赎回
2025-11-04,1.1421,1.1421,-0.15,开放申购,开放赎回
2025-11-03,1.1438,1.1438,-0.19,开放申购,开放赎回
2025-10-31,1.1460,1.1460,-1.39,开放申购,开放赎回
2025-10-30,1.1621,1.1621,-1.54,开放申购,开放赎回
2025-10-29,1.1803,1.1803,1.98,开放申购,开放赎回
2025-10-28,1.1574,1.1574,-0.43,开放申购,开放赎回
2025-10-27,1.1624,1.1624,0.86,开放申购,开放赎回
2025-10-24,1.1525,1.1525,0.66,开放申购,开放赎回
2025-10-23,1.1450,1.1450,0.91,开放申购,开放赎回
2025-10-22,1.1347,1.1347,-0.68,开放申购,开放赎回
2025-10-21,1.1425,1.1425,0.84,开放申购,开放赎回
2025-10-20,1.1330,1.1330,0.37,开放申购,开放赎回
2025-10-17,1.1288,1.1288,-1.93,开放申购,开放赎回
2025-10-16,1.1510,1.1510,0.14,开放申购,开放赎回
2025-10-15,1.1494,1.1494,1.45,开放申购,开放赎回
2025-10-14,1.1330,1.1330,0.28,开放申购,开放赎回
2025-10-13,1.1298,1.1298,-1.19,开放申购,开放赎回
2025-10-10,1.1434,1.1434,0.43,开放申购,开放赎回
2025-10-09,1.1385,1.1385,0.12,开放申购,开放赎回
2025-09-30,1.1371,1.1371,-1.06,开放申购,开放赎回
2025-09-29,1.1493,1.1493,3.88,开放申购,开放赎回
2025-09-26,1.1064,1.1064,-0.18,开放申购,开放赎回
2025-09-25,1.1084,1.1084,-0.11,开放申购,开放赎回
2025-09-24,1.1096,1.1096,0.76,开放申购,开放赎回
2025-09-23,1.1012,1.1012,-1.25,开放申购,开放赎回
2025-09-22,1.1151,1.1151,0.84,开放申购,开放赎回
2025-09-19,1.1058,1.1058,-0.75,开放申购,开放赎回
2025-09-18,1.1142,1.1142,-2.66,开放申购,开放赎回
2025-09-17,1.1447,1.1447,0.33,开放申购,开放赎回
2025-09-16,1.1409,1.1409,-0.27,开放申购,开放赎回
2025-09-15,1.1440,1.1440,-0.35,开放申购,开放赎回
2025-09-12,1.1480,1.1480,-1.45,开放申购,开放赎回
2025-09-11,1.1649,1.1649,2.61,开放申购,开放赎回
2025-09-10,1.1353,1.1353,-0.25,开放申购,开放赎回
2025-09-09,1.1381,1.1381,0.04,开放申购,开放赎回
2025-09-08,1.1376,1.1376,-0.67,开放申购,开放赎回
2025-09-05,1.1453,1.1453,0.65,开放申购,开放赎回
2025-09-04,1.1379,1.1379,-0.39,开放申购,开放赎回
2025-09-03,1.1424,1.1424,-3.01,开放申购,开放赎回
2025-09-02,1.1778,1.1778,-0.88,开放申购,开放赎回
2025-09-01,1.1882,1.1882,-1.25,开放申购,开放赎回
2025-08-29,1.2033,1.2033,0.53,开放申购,开放赎回
2025-08-28,1.1969,1.1969,1.49,开放申购,开放赎回
2025-08-27,1.1793,1.1793,-2.57,开放申购,开放赎回
2025-08-26,1.2104,1.2104,-1.05,开放申购,开放赎回
