发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.5316,1.5316,0.40,开放申购,开放赎回
2026-02-26,1.5255,1.5255,-0.29,开放申购,开放赎回
2026-02-25,1.5300,1.5300,1.56,开放申购,开放赎回
2026-02-24,1.5065,1.5065,0.39,开放申购,开放赎回
2026-02-13,1.5007,1.5007,-1.72,开放申购,开放赎回
2026-02-12,1.5269,1.5269,2.86,开放申购,开放赎回
2026-02-11,1.4845,1.4845,-0.44,开放申购,开放赎回
2026-02-10,1.4911,1.4911,-0.43,开放申购,开放赎回
2026-02-09,1.4976,1.4976,2.51,开放申购,开放赎回
2026-02-06,1.4609,1.4609,0.84,开放申购,开放赎回
2026-02-05,1.4488,1.4488,-3.48,开放申购,开放赎回
2026-02-04,1.5011,1.5011,1.05,开放申购,开放赎回
2026-02-03,1.4855,1.4855,2.43,开放申购,开放赎回
2026-02-02,1.4502,1.4502,-1.76,开放申购,开放赎回
2026-01-30,1.4762,1.4762,0.53,开放申购,开放赎回
2026-01-29,1.4684,1.4684,-2.81,开放申购,开放赎回
2026-01-28,1.5108,1.5108,-0.28,开放申购,开放赎回
2026-01-27,1.5150,1.5150,-0.62,开放申购,开放赎回
2026-01-26,1.5244,1.5244,-0.45,开放申购,开放赎回
2026-01-23,1.5313,1.5313,2.27,开放申购,开放赎回
2026-01-22,1.4973,1.4973,-0.37,开放申购,开放赎回
2026-01-21,1.5029,1.5029,1.17,开放申购,开放赎回
2026-01-20,1.4855,1.4855,-2.23,开放申购,开放赎回
2026-01-19,1.5194,1.5194,1.42,开放申购,开放赎回
2026-01-16,1.4981,1.4981,0.72,开放申购,开放赎回
2026-01-15,1.4874,1.4874,0.63,开放申购,开放赎回
2026-01-14,1.4781,1.4781,1.00,开放申购,开放赎回
2026-01-13,1.4635,1.4635,-1.51,开放申购,开放赎回
2026-01-12,1.4860,1.4860,-0.75,开放申购,开放赎回
2026-01-09,1.4973,1.4973,0.98,开放申购,开放赎回
2026-01-08,1.4827,1.4827,-0.68,开放申购,开放赎回
2026-01-07,1.4929,1.4929,0.92,开放申购,开放赎回
2026-01-06,1.4793,1.4793,0.63,开放申购,开放赎回
2026-01-05,1.4701,1.4701,1.62,开放申购,开放赎回
2025-12-31,1.4466,1.4466,-2.02,开放申购,开放赎回
2025-12-30,1.4764,1.4764,0.45,开放申购,开放赎回
2025-12-29,1.4698,1.4698,-1.96,开放申购,开放赎回
2025-12-26,1.4992,1.4992,0.74,开放申购,开放赎回
2025-12-25,1.4882,1.4882,0.28,开放申购,开放赎回
2025-12-24,1.4840,1.4840,1.62,开放申购,开放赎回
2025-12-23,1.4604,1.4604,1.97,开放申购,开放赎回
2025-12-22,1.4322,1.4322,1.51,开放申购,开放赎回
2025-12-19,1.4109,1.4109,0.25,开放申购,开放赎回
2025-12-18,1.4074,1.4074,-2.05,开放申购,开放赎回
2025-12-17,1.4369,1.4369,3.44,开放申购,开放赎回
2025-12-16,1.3891,1.3891,-2.09,开放申购,开放赎回
2025-12-15,1.4188,1.4188,-0.89,开放申购,开放赎回
2025-12-12,1.4316,1.4316,1.39,开放申购,开放赎回
2025-12-11,1.4120,1.4120,-1.07,开放申购,开放赎回
2025-12-10,1.4273,1.4273,-1.06,开放申购,开放赎回
2025-12-09,1.4426,1.4426,-0.31,开放申购,开放赎回
2025-12-08,1.4471,1.4471,1.64,开放申购,开放赎回
2025-12-05,1.4238,1.4238,1.64,开放申购,开放赎回
2025-12-04,1.4008,1.4008,0.17,开放申购,开放赎回
2025-12-03,1.3984,1.3984,-0.63,开放申购,开放赎回
2025-12-02,1.4073,1.4073,-1.14,开放申购,开放赎回
2025-12-01,1.4235,1.4235,0.47,开放申购,开放赎回
2025-11-28,1.4168,1.4168,1.20,开放申购,开放赎回
2025-11-27,1.4000,1.4000,-0.17,开放申购,开放赎回
2025-11-26,1.4024,1.4024,0.77,开放申购,开放赎回
2025-11-25,1.3917,1.3917,2.00,开放申购,开放赎回
2025-11-24,1.3644,1.3644,0.46,开放申购,开放赎回
2025-11-21,1.3581,1.3581,-4.75,开放申购,开放赎回
2025-11-20,1.4258,1.4258,-1.32,开放申购,开放赎回
2025-11-19,1.4449,1.4449,-0.65,开放申购,开放赎回
2025-11-18,1.4544,1.4544,-3.01,开放申购,开放赎回
2025-11-17,1.4995,1.4995,0.09,开放申购,开放赎回
2025-11-14,1.4981,1.4981,-2.67,开放申购,开放赎回
2025-11-13,1.5392,1.5392,4.42,开放申购,开放赎回
2025-11-12,1.4740,1.4740,-2.13,开放申购,开放赎回
2025-11-11,1.5061,1.5061,0.00,开放申购,开放赎回
2025-11-10,1.5061,1.5061,-2.33,开放申购,开放赎回
2025-11-07,1.5420,1.5420,-0.29,开放申购,开放赎回
2025-11-06,1.5465,1.5465,1.72,开放申购,开放赎回
2025-11-05,1.5203,1.5203,4.07,开放申购,开放赎回
2025-11-04,1.4609,1.4609,-2.92,开放申购,开放赎回
2025-11-03,1.5048,1.5048,1.25,开放申购,开放赎回
2025-10-31,1.4862,1.4862,-0.90,开放申购,开放赎回
2025-10-30,1.4997,1.4997,-0.42,开放申购,开放赎回
2025-10-29,1.5060,1.5060,6.18,开放申购,开放赎回
2025-10-28,1.4184,1.4184,-0.73,开放申购,开放赎回
2025-10-27,1.4288,1.4288,0.29,开放申购,开放赎回
2025-10-24,1.4247,1.4247,3.21,开放申购,开放赎回
2025-10-23,1.3804,1.3804,0.81,开放申购,开放赎回
2025-10-22,1.3693,1.3693,-1.40,开放申购,开放赎回
2025-10-21,1.3887,1.3887,1.99,开放申购,开放赎回
2025-10-20,1.3616,1.3616,1.85,开放申购,开放赎回
2025-10-17,1.3369,1.3369,-6.12,开放申购,开放赎回
2025-10-16,1.4240,1.4240,1.04,开放申购,开放赎回
2025-10-15,1.4093,1.4093,3.10,开放申购,开放赎回
2025-10-14,1.3669,1.3669,-2.45,开放申购,开放赎回
2025-10-13,1.4012,1.4012,-0.90,开放申购,开放赎回
2025-10-10,1.4139,1.4139,-5.18,开放申购,开放赎回
2025-10-09,1.4911,1.4911,0.03,开放申购,开放赎回
2025-09-30,1.4906,1.4906,1.47,开放申购,开放赎回
2025-09-29,1.4690,1.4690,4.01,开放申购,开放赎回
2025-09-26,1.4124,1.4124,-2.57,开放申购,开放赎回
2025-09-25,1.4496,1.4496,2.01,开放申购,开放赎回
