发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.1816,1.1816,0.67,开放申购,开放赎回
2026-02-26,1.1737,1.1737,-3.72,开放申购,开放赎回
2026-02-25,1.2191,1.2191,-0.05,开放申购,开放赎回
2026-02-24,1.2197,1.2197,-0.19,开放申购,开放赎回
2026-02-13,1.2220,1.2220,-1.42,开放申购,开放赎回
2026-02-12,1.2396,1.2396,-0.55,开放申购,开放赎回
2026-02-11,1.2464,1.2464,0.42,开放申购,开放赎回
2026-02-10,1.2412,1.2412,2.23,开放申购,开放赎回
2026-02-09,1.2141,1.2141,1.45,开放申购,开放赎回
2026-02-06,1.1967,1.1967,-0.28,开放申购,开放赎回
2026-02-05,1.2000,1.2000,0.40,开放申购,开放赎回
2026-02-04,1.1952,1.1952,0.83,开放申购,开放赎回
2026-02-03,1.1854,1.1854,1.85,开放申购,开放赎回
2026-02-02,1.1639,1.1639,-3.02,开放申购,开放赎回
2026-01-30,1.2002,1.2002,-1.69,开放申购,开放赎回
2026-01-29,1.2208,1.2208,0.18,开放申购,开放赎回
2026-01-28,1.2186,1.2186,0.53,开放申购,开放赎回
2026-01-27,1.2122,1.2122,-0.32,开放申购,开放赎回
2026-01-26,1.2161,1.2161,-1.17,开放申购,开放赎回
2026-01-23,1.2305,1.2305,0.79,开放申购,开放赎回
2026-01-22,1.2208,1.2208,-0.93,开放申购,开放赎回
2026-01-21,1.2322,1.2322,0.27,开放申购,开放赎回
2026-01-20,1.2289,1.2289,-1.41,开放申购,开放赎回
2026-01-19,1.2465,1.2465,-2.04,开放申购,开放赎回
2026-01-16,1.2724,1.2724,-0.59,开放申购,开放赎回
2026-01-15,1.2799,1.2799,-0.23,开放申购,开放赎回
2026-01-14,1.2829,1.2829,-0.59,开放申购,开放赎回
2026-01-13,1.2905,1.2905,2.33,开放申购,开放赎回
2026-01-12,1.2611,1.2611,0.19,开放申购,开放赎回
2026-01-09,1.2587,1.2587,0.71,开放申购,开放赎回
2026-01-08,1.2498,1.2498,0.26,开放申购,开放赎回
2026-01-07,1.2465,1.2465,3.02,开放申购,开放赎回
2026-01-06,1.2100,1.2100,0.54,开放申购,开放赎回
2026-01-05,1.2035,1.2035,5.39,开放申购,开放赎回
2025-12-31,1.1420,1.1420,-1.20,暂停申购,暂停赎回
2025-12-30,1.1559,1.1559,-0.52,开放申购,开放赎回
2025-12-29,1.1619,1.1619,-1.17,开放申购,开放赎回
2025-12-26,1.1756,1.1756,-0.14,暂停申购,暂停赎回
2025-12-25,1.1773,1.1773,0.21,暂停申购,暂停赎回
2025-12-24,1.1748,1.1748,-0.39,暂停申购,暂停赎回
2025-12-23,1.1794,1.1794,-0.12,开放申购,开放赎回
2025-12-22,1.1808,1.1808,-0.64,开放申购,开放赎回
2025-12-19,1.1884,1.1884,1.72,开放申购,开放赎回
2025-12-18,1.1683,1.1683,0.19,开放申购,开放赎回
2025-12-17,1.1661,1.1661,1.09,开放申购,开放赎回
2025-12-16,1.1535,1.1535,-1.55,开放申购,开放赎回
2025-12-15,1.1717,1.1717,-3.39,开放申购,开放赎回
2025-12-12,1.2128,1.2128,0.57,开放申购,开放赎回
2025-12-11,1.2059,1.2059,0.02,开放申购,开放赎回
2025-12-10,1.2057,1.2057,0.09,开放申购,开放赎回
2025-12-09,1.2046,1.2046,-0.13,开放申购,开放赎回
2025-12-08,1.2062,1.2062,-0.72,开放申购,开放赎回
2025-12-05,1.2150,1.2150,0.00,开放申购,开放赎回
2025-12-04,1.2150,1.2150,1.69,开放申购,开放赎回
2025-12-03,1.1948,1.1948,-1.18,开放申购,开放赎回
2025-12-02,1.2091,1.2091,-1.59,开放申购,开放赎回
2025-12-01,1.2286,1.2286,0.24,开放申购,开放赎回
2025-11-28,1.2257,1.2257,-0.32,开放申购,开放赎回
2025-11-27,1.2296,1.2296,-0.53,开放申购,开放赎回
2025-11-26,1.2362,1.2362,1.05,开放申购,开放赎回
2025-11-25,1.2234,1.2234,0.07,开放申购,开放赎回
2025-11-24,1.2225,1.2225,2.43,开放申购,开放赎回
2025-11-21,1.1935,1.1935,-3.31,开放申购,开放赎回
2025-11-20,1.2344,1.2344,0.16,开放申购,开放赎回
2025-11-19,1.2324,1.2324,-0.74,开放申购,开放赎回
2025-11-18,1.2416,1.2416,-0.74,开放申购,开放赎回
2025-11-17,1.2508,1.2508,-1.99,开放申购,开放赎回
2025-11-14,1.2762,1.2762,-1.02,开放申购,开放赎回
2025-11-13,1.2894,1.2894,3.74,开放申购,开放赎回
2025-11-12,1.2429,1.2429,1.59,开放申购,开放赎回
2025-11-11,1.2235,1.2235,-0.68,开放申购,开放赎回
2025-11-10,1.2319,1.2319,0.89,开放申购,开放赎回
2025-11-07,1.2210,1.2210,-1.41,开放申购,开放赎回
2025-11-06,1.2385,1.2385,0.79,开放申购,开放赎回
2025-11-05,1.2288,1.2288,0.07,开放申购,开放赎回
2025-11-04,1.2279,1.2279,-2.43,开放申购,开放赎回
2025-11-03,1.2585,1.2585,-0.23,开放申购,开放赎回
2025-10-31,1.2614,1.2614,2.39,开放申购,开放赎回
2025-10-30,1.2319,1.2319,-2.36,开放申购,开放赎回
2025-10-29,1.2617,1.2617,0.96,暂停申购,暂停赎回
2025-10-28,1.2497,1.2497,-1.42,开放申购,开放赎回
2025-10-27,1.2677,1.2677,1.77,开放申购,开放赎回
2025-10-24,1.2456,1.2456,0.97,开放申购,开放赎回
2025-10-23,1.2336,1.2336,-0.85,开放申购,开放赎回
2025-10-22,1.2442,1.2442,-1.23,开放申购,开放赎回
2025-10-21,1.2597,1.2597,0.88,开放申购,开放赎回
2025-10-20,1.2487,1.2487,1.12,开放申购,开放赎回
2025-10-17,1.2349,1.2349,-2.58,开放申购,开放赎回
2025-10-16,1.2676,1.2676,1.25,开放申购,开放赎回
2025-10-15,1.2519,1.2519,2.55,开放申购,开放赎回
2025-10-14,1.2208,1.2208,-3.56,开放申购,开放赎回
2025-10-13,1.2659,1.2659,-2.53,开放申购,开放赎回
2025-10-10,1.2987,1.2987,-3.51,开放申购,开放赎回
2025-10-09,1.3459,1.3459,-0.70,开放申购,开放赎回
2025-09-30,1.3554,1.3554,2.80,开放申购,开放赎回
2025-09-29,1.3185,1.3185,0.46,开放申购,开放赎回
2025-09-26,1.3124,1.3124,-2.50,开放申购,开放赎回
2025-09-25,1.3460,1.3460,1.12,开放申购,开放赎回
2025-09-24,1.3311,1.3311,0.94,开放申购,开放赎回
2025-09-23,1.3187,1.3187,-2.00,开放申购,开放赎回
2025-09-22,1.3456,1.3456,1.23,开放申购,开放赎回
2025-09-19,1.3293,1.3293,-1.68,开放申购,开放赎回
2025-09-18,1.3520,1.3520,0.26,开放申购,开放赎回
2025-09-17,1.3485,1.3485,0.10,开放申购,开放赎回
2025-09-16,1.3472,1.3472,-0.44,开放申购,开放赎回
2025-09-15,1.3532,1.3532,0.80,开放申购,开放赎回
2025-09-12,1.3425,1.3425,1.29,开放申购,开放赎回
2025-09-11,1.3254,1.3254,-2.50,开放申购,开放赎回
2025-09-10,1.3594,1.3594,-0.59,开放申购,开放赎回
2025-09-09,1.3675,1.3675,-1.01,开放申购,开放赎回
2025-09-08,1.3814,1.3814,1.28,开放申购,开放赎回
2025-09-05,1.3639,1.3639,4.39,开放申购,开放赎回
2025-09-04,1.3065,1.3065,-4.48,开放申购,开放赎回
2025-09-03,1.3678,1.3678,1.02,开放申购,开放赎回
2025-09-02,1.3540,1.3540,0.41,开放申购,开放赎回
2025-09-01,1.3485,1.3485,5.05,开放申购,开放赎回
2025-08-29,1.2837,1.2837,4.09,开放申购,开放赎回
2025-08-28,1.2333,1.2333,-0.50,开放申购,开放赎回
2025-08-27,1.2395,1.2395,-2.96,开放申购,开放赎回
2025-08-26,1.2773,1.2773,-1.84,开放申购,开放赎回
