发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.4569,1.5831,0.98,开放申购,开放赎回
2026-02-26,1.4427,1.5689,-0.91,开放申购,开放赎回
2026-02-25,1.4560,1.5822,-0.46,开放申购,开放赎回
2026-02-24,1.4628,1.5890,1.45,开放申购,开放赎回
2026-02-13,1.4419,1.5681,-1.35,开放申购,开放赎回
2026-02-12,1.4617,1.5879,-0.01,开放申购,开放赎回
2026-02-11,1.4619,1.5881,0.70,开放申购,开放赎回
2026-02-10,1.4518,1.5780,0.45,限制大额申购,开放赎回
2026-02-09,1.4553,1.5715,0.60,限制大额申购,开放赎回
2026-02-06,1.4466,1.5628,0.26,限制大额申购,开放赎回
2026-02-05,1.4429,1.5591,0.18,限制大额申购,开放赎回
2026-02-04,1.4403,1.5565,1.91,限制大额申购,开放赎回
2026-02-03,1.4133,1.5295,0.43,开放申购,开放赎回
2026-02-02,1.4072,1.5234,-1.56,开放申购,开放赎回
2026-01-30,1.4295,1.5457,-1.39,开放申购,开放赎回
2026-01-29,1.4497,1.5659,1.07,开放申购,开放赎回
2026-01-28,1.4343,1.5505,1.74,开放申购,开放赎回
2026-01-27,1.4098,1.5260,0.09,开放申购,开放赎回
2026-01-26,1.4086,1.5248,0.69,开放申购,开放赎回
2026-01-23,1.3990,1.5152,-0.83,开放申购,开放赎回
2026-01-22,1.4107,1.5269,0.84,开放申购,开放赎回
2026-01-21,1.3990,1.5152,0.21,开放申购,开放赎回
2026-01-20,1.3960,1.5122,0.63,开放申购,开放赎回
2026-01-19,1.3872,1.5034,-0.21,开放申购,开放赎回
2026-01-16,1.3901,1.5063,-0.05,开放申购,开放赎回
2026-01-15,1.3908,1.5070,0.05,开放申购,开放赎回
2026-01-14,1.3901,1.5063,-0.11,开放申购,开放赎回
2026-01-13,1.3917,1.5079,0.58,开放申购,开放赎回
2026-01-12,1.3837,1.4999,-0.03,限制大额申购,开放赎回
2026-01-09,1.3871,1.5003,0.29,限制大额申购,开放赎回
2026-01-08,1.3831,1.4963,0.07,限制大额申购,开放赎回
2026-01-07,1.3821,1.4953,0.36,限制大额申购,开放赎回
2026-01-06,1.3772,1.4904,0.62,限制大额申购,开放赎回
2026-01-05,1.3687,1.4819,0.14,开放申购,开放赎回
2025-12-31,1.3668,1.4800,-0.38,开放申购,开放赎回
2025-12-30,1.3720,1.4852,-0.31,开放申购,开放赎回
2025-12-29,1.3763,1.4895,-0.56,开放申购,开放赎回
2025-12-26,1.3840,1.4972,-0.04,暂停申购,暂停赎回
2025-12-25,1.3846,1.4978,-0.10,暂停申购,暂停赎回
2025-12-24,1.3860,1.4992,-0.14,开放申购,开放赎回
2025-12-23,1.3880,1.5012,0.17,开放申购,开放赎回
2025-12-22,1.3856,1.4988,0.20,开放申购,开放赎回
2025-12-19,1.3829,1.4961,0.17,开放申购,开放赎回
2025-12-18,1.3805,1.4937,0.32,开放申购,开放赎回
2025-12-17,1.3761,1.4893,0.04,开放申购,开放赎回
2025-12-16,1.3755,1.4887,-1.40,开放申购,开放赎回
2025-12-15,1.3950,1.5082,-0.04,开放申购,开放赎回
2025-12-12,1.3955,1.5087,0.75,开放申购,开放赎回
2025-12-11,1.3851,1.4983,-0.47,开放申购,开放赎回
2025-12-10,1.3916,1.5048,0.04,开放申购,开放赎回
2025-12-09,1.3911,1.5043,-1.04,开放申购,开放赎回
2025-12-08,1.4057,1.5189,-1.21,限制大额申购,开放赎回
2025-12-05,1.4295,1.5362,-0.14,限制大额申购,开放赎回
2025-12-04,1.4315,1.5382,0.10,限制大额申购,开放赎回
2025-12-03,1.4300,1.5367,-0.60,开放申购,开放赎回
2025-12-02,1.4387,1.5454,1.44,开放申购,开放赎回
2025-12-01,1.4183,1.5250,0.30,开放申购,开放赎回
2025-11-28,1.4141,1.5208,-0.49,开放申购,开放赎回
2025-11-27,1.4210,1.5277,-0.31,开放申购,开放赎回
2025-11-26,1.4254,1.5321,0.37,开放申购,开放赎回
2025-11-25,1.4201,1.5268,0.32,开放申购,开放赎回
2025-11-24,1.4155,1.5222,0.89,开放申购,开放赎回
2025-11-21,1.4030,1.5097,-1.81,开放申购,开放赎回
2025-11-20,1.4289,1.5356,0.06,开放申购,开放赎回
2025-11-19,1.4281,1.5348,0.20,开放申购,开放赎回
2025-11-18,1.4252,1.5319,-1.76,开放申购,开放赎回
2025-11-17,1.4507,1.5574,0.33,开放申购,开放赎回
2025-11-14,1.4460,1.5527,-1.18,开放申购,开放赎回
2025-11-13,1.4632,1.5699,-0.07,开放申购,开放赎回
2025-11-12,1.4642,1.5709,0.99,开放申购,开放赎回
2025-11-11,1.4499,1.5566,0.27,限制大额申购,开放赎回
2025-11-10,1.4525,1.5527,1.21,限制大额申购,开放赎回
2025-11-07,1.4351,1.5353,0.29,开放申购,开放赎回
2025-11-06,1.4309,1.5311,0.99,开放申购,开放赎回
2025-11-05,1.4169,1.5171,0.45,开放申购,开放赎回
2025-11-04,1.4105,1.5107,0.33,开放申购,开放赎回
2025-11-03,1.4058,1.5060,1.49,开放申购,开放赎回
2025-10-31,1.3851,1.4853,-1.23,开放申购,开放赎回
2025-10-30,1.4024,1.5026,0.26,开放申购,开放赎回
2025-10-29,1.3988,1.4990,-0.04,暂停申购,暂停赎回
2025-10-28,1.3993,1.4995,-0.72,开放申购,开放赎回
2025-10-27,1.4095,1.5097,0.42,开放申购,开放赎回
2025-10-24,1.4036,1.5038,0.16,开放申购,开放赎回
2025-10-23,1.4013,1.5015,0.53,开放申购,开放赎回
2025-10-22,1.3939,1.4941,0.13,开放申购,开放赎回
2025-10-21,1.3921,1.4923,0.08,开放申购,开放赎回
2025-10-20,1.3910,1.4912,1.26,开放申购,开放赎回
2025-10-17,1.3737,1.4739,-1.32,限制大额申购,开放赎回
2025-10-16,1.3986,1.4923,1.14,限制大额申购,开放赎回
2025-10-15,1.3829,1.4766,1.50,限制大额申购,开放赎回
2025-10-14,1.3625,1.4562,-0.17,开放申购,开放赎回
2025-10-13,1.3648,1.4585,0.00,开放申购,开放赎回
2025-10-10,1.3648,1.4585,-0.19,开放申购,开放赎回
2025-10-09,1.3674,1.4611,1.69,开放申购,开放赎回
2025-09-30,1.3447,1.4384,-0.26,开放申购,开放赎回
2025-09-29,1.3482,1.4419,0.28,开放申购,开放赎回
2025-09-26,1.3445,1.4382,0.35,开放申购,开放赎回
2025-09-25,1.3398,1.4335,-1.25,开放申购,开放赎回
2025-09-24,1.3568,1.4505,-0.13,开放申购,开放赎回
2025-09-23,1.3585,1.4522,-0.27,开放申购,开放赎回
2025-09-22,1.3622,1.4559,-1.22,开放申购,开放赎回
2025-09-19,1.3790,1.4727,0.12,开放申购,开放赎回
2025-09-18,1.3774,1.4711,-0.98,开放申购,开放赎回
2025-09-17,1.3910,1.4847,0.25,开放申购,开放赎回
2025-09-16,1.3876,1.4813,0.06,开放申购,开放赎回
