发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,0.7836,0.7836,1.69,开放申购,开放赎回
2026-02-26,0.7706,0.7706,-0.40,开放申购,开放赎回
2026-02-25,0.7737,0.7737,0.90,开放申购,开放赎回
2026-02-24,0.7668,0.7668,1.42,开放申购,开放赎回
2026-02-13,0.7561,0.7561,-2.89,开放申购,开放赎回
2026-02-12,0.7786,0.7786,1.17,开放申购,开放赎回
2026-02-11,0.7696,0.7696,-0.86,开放申购,开放赎回
2026-02-10,0.7763,0.7763,-1.38,开放申购,开放赎回
2026-02-09,0.7872,0.7872,3.42,开放申购,开放赎回
2026-02-06,0.7612,0.7612,0.62,开放申购,开放赎回
2026-02-05,0.7565,0.7565,-5.06,开放申购,开放赎回
2026-02-04,0.7968,0.7968,3.05,开放申购,开放赎回
2026-02-03,0.7732,0.7732,5.56,开放申购,开放赎回
2026-02-02,0.7325,0.7325,-0.92,开放申购,开放赎回
2026-01-30,0.7393,0.7393,-2.05,开放申购,开放赎回
2026-01-29,0.7548,0.7548,-0.92,开放申购,开放赎回
2026-01-28,0.7618,0.7618,-2.13,开放申购,开放赎回
2026-01-27,0.7784,0.7784,0.84,开放申购,开放赎回
2026-01-26,0.7719,0.7719,-0.86,开放申购,开放赎回
2026-01-23,0.7786,0.7786,6.31,开放申购,开放赎回
2026-01-22,0.7324,0.7324,1.27,开放申购,开放赎回
2026-01-21,0.7232,0.7232,-0.30,开放申购,开放赎回
2026-01-20,0.7254,0.7254,-2.59,开放申购,开放赎回
2026-01-19,0.7447,0.7447,1.94,开放申购,开放赎回
2026-01-16,0.7305,0.7305,1.11,开放申购,开放赎回
2026-01-15,0.7225,0.7225,0.71,开放申购,开放赎回
2026-01-14,0.7174,0.7174,0.55,开放申购,开放赎回
2026-01-13,0.7135,0.7135,-0.56,开放申购,开放赎回
2026-01-12,0.7175,0.7175,1.89,开放申购,开放赎回
2026-01-09,0.7042,0.7042,-0.21,开放申购,开放赎回
2026-01-08,0.7057,0.7057,1.07,开放申购,开放赎回
2026-01-07,0.6982,0.6982,0.61,开放申购,开放赎回
2026-01-06,0.6940,0.6940,2.37,开放申购,开放赎回
2026-01-05,0.6779,0.6779,1.51,开放申购,开放赎回
2025-12-31,0.6678,0.6678,-1.07,开放申购,开放赎回
2025-12-30,0.6750,0.6750,-0.90,开放申购,开放赎回
2025-12-29,0.6811,0.6811,-0.47,开放申购,开放赎回
2025-12-26,0.6843,0.6843,1.74,开放申购,开放赎回
2025-12-25,0.6726,0.6726,0.64,开放申购,开放赎回
2025-12-24,0.6683,0.6683,1.37,开放申购,开放赎回
2025-12-23,0.6593,0.6593,0.38,开放申购,开放赎回
2025-12-22,0.6568,0.6568,0.91,开放申购,开放赎回
2025-12-19,0.6509,0.6509,0.87,开放申购,开放赎回
2025-12-18,0.6453,0.6453,-1.68,开放申购,开放赎回
2025-12-17,0.6563,0.6563,1.97,开放申购,开放赎回
2025-12-16,0.6436,0.6436,-2.84,开放申购,开放赎回
2025-12-15,0.6624,0.6624,-1.00,开放申购,开放赎回
2025-12-12,0.6691,0.6691,2.00,开放申购,开放赎回
2025-12-11,0.6560,0.6560,-0.85,开放申购,开放赎回
2025-12-10,0.6616,0.6616,-1.19,开放申购,开放赎回
2025-12-09,0.6696,0.6696,0.53,开放申购,开放赎回
2025-12-08,0.6661,0.6661,1.17,开放申购,开放赎回
2025-12-05,0.6584,0.6584,1.90,开放申购,开放赎回
2025-12-04,0.6461,0.6461,-0.35,开放申购,开放赎回
2025-12-03,0.6484,0.6484,-0.60,开放申购,开放赎回
2025-12-02,0.6523,0.6523,-1.33,开放申购,开放赎回
2025-12-01,0.6611,0.6611,0.11,开放申购,开放赎回
2025-11-28,0.6604,0.6604,1.13,开放申购,开放赎回
2025-11-27,0.6530,0.6530,-0.43,开放申购,开放赎回
2025-11-26,0.6558,0.6558,0.58,开放申购,开放赎回
2025-11-25,0.6520,0.6520,1.72,开放申购,开放赎回
2025-11-24,0.6410,0.6410,0.06,开放申购,开放赎回
2025-11-21,0.6406,0.6406,-5.40,开放申购,开放赎回
2025-11-20,0.6772,0.6772,-1.80,开放申购,开放赎回
2025-11-19,0.6896,0.6896,-0.22,开放申购,开放赎回
2025-11-18,0.6911,0.6911,-2.35,开放申购,开放赎回
2025-11-17,0.7077,0.7077,-1.27,开放申购,开放赎回
2025-11-14,0.7168,0.7168,-1.01,开放申购,开放赎回
2025-11-13,0.7241,0.7241,1.80,开放申购,开放赎回
2025-11-12,0.7113,0.7113,-3.62,开放申购,开放赎回
2025-11-11,0.7380,0.7380,-0.42,开放申购,开放赎回
2025-11-10,0.7411,0.7411,0.07,开放申购,开放赎回
2025-11-07,0.7406,0.7406,1.52,开放申购,开放赎回
2025-11-06,0.7295,0.7295,1.79,开放申购,开放赎回
2025-11-05,0.7167,0.7167,4.10,开放申购,开放赎回
2025-11-04,0.6885,0.6885,-2.42,开放申购,开放赎回
2025-11-03,0.7056,0.7056,3.25,开放申购,开放赎回
2025-10-31,0.6834,0.6834,-1.20,开放申购,开放赎回
2025-10-30,0.6917,0.6917,-0.10,开放申购,开放赎回
2025-10-29,0.6924,0.6924,7.60,开放申购,开放赎回
2025-10-28,0.6435,0.6435,-0.66,开放申购,开放赎回
2025-10-27,0.6478,0.6478,0.82,开放申购,开放赎回
2025-10-24,0.6425,0.6425,1.81,开放申购,开放赎回
2025-10-23,0.6311,0.6311,0.75,开放申购,开放赎回
2025-10-22,0.6264,0.6264,-1.52,开放申购,开放赎回
2025-10-21,0.6361,0.6361,1.23,开放申购,开放赎回
2025-10-20,0.6284,0.6284,0.30,开放申购,开放赎回
2025-10-17,0.6265,0.6265,-5.60,开放申购,开放赎回
2025-10-16,0.6637,0.6637,0.94,开放申购,开放赎回
2025-10-15,0.6575,0.6575,2.51,开放申购,开放赎回
2025-10-14,0.6414,0.6414,0.98,开放申购,开放赎回
2025-10-13,0.6352,0.6352,-1.60,开放申购,开放赎回
