发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,0.9288,0.9288,1.54,开放申购,开放赎回
2026-02-26,0.9147,0.9147,-0.25,开放申购,开放赎回
2026-02-25,0.9170,0.9170,0.42,开放申购,开放赎回
2026-02-24,0.9132,0.9132,-2.37,开放申购,开放赎回
2026-02-13,0.9354,0.9354,-1.38,开放申购,开放赎回
2026-02-12,0.9485,0.9485,1.18,开放申购,开放赎回
2026-02-11,0.9374,0.9374,-0.54,开放申购,开放赎回
2026-02-10,0.9425,0.9425,0.72,开放申购,开放赎回
2026-02-09,0.9358,0.9358,2.89,开放申购,开放赎回
2026-02-06,0.9095,0.9095,-1.35,开放申购,开放赎回
2026-02-05,0.9219,0.9219,-1.36,开放申购,开放赎回
2026-02-04,0.9346,0.9346,-1.49,开放申购,开放赎回
2026-02-03,0.9487,0.9487,2.24,开放申购,开放赎回
2026-02-02,0.9279,0.9279,-2.71,开放申购,开放赎回
2026-01-30,0.9537,0.9537,-2.75,开放申购,开放赎回
2026-01-29,0.9807,0.9807,0.99,开放申购,开放赎回
2026-01-28,0.9711,0.9711,-1.31,开放申购,开放赎回
2026-01-27,0.9840,0.9840,0.20,开放申购,开放赎回
2026-01-26,0.9820,0.9820,-2.04,开放申购,开放赎回
2026-01-23,1.0025,1.0025,1.82,开放申购,开放赎回
2026-01-22,0.9846,0.9846,1.36,开放申购,开放赎回
2026-01-21,0.9714,0.9714,-0.42,开放申购,开放赎回
2026-01-20,0.9755,0.9755,-2.22,开放申购,开放赎回
2026-01-19,0.9976,0.9976,-2.34,开放申购,开放赎回
2026-01-16,1.0215,1.0215,-1.98,开放申购,开放赎回
2026-01-15,1.0421,1.0421,-1.33,开放申购,开放赎回
2026-01-14,1.0562,1.0562,2.57,开放申购,开放赎回
2026-01-13,1.0297,1.0297,-0.90,开放申购,开放赎回
2026-01-12,1.0391,1.0391,8.69,开放申购,开放赎回
2026-01-09,0.9560,0.9560,3.42,开放申购,开放赎回
2026-01-08,0.9244,0.9244,0.69,开放申购,开放赎回
2026-01-07,0.9181,0.9181,-1.49,开放申购,开放赎回
2026-01-06,0.9320,0.9320,2.47,开放申购,开放赎回
2026-01-05,0.9095,0.9095,2.99,开放申购,开放赎回
2025-12-31,0.8831,0.8831,1.10,开放申购,开放赎回
2025-12-30,0.8735,0.8735,0.46,开放申购,开放赎回
2025-12-29,0.8695,0.8695,0.51,开放申购,开放赎回
2025-12-26,0.8651,0.8651,0.37,开放申购,开放赎回
2025-12-25,0.8619,0.8619,1.09,开放申购,开放赎回
2025-12-24,0.8526,0.8526,0.90,开放申购,开放赎回
2025-12-23,0.8450,0.8450,-0.91,开放申购,开放赎回
2025-12-22,0.8528,0.8528,0.34,开放申购,开放赎回
2025-12-19,0.8499,0.8499,0.54,开放申购,开放赎回
2025-12-18,0.8453,0.8453,-0.90,开放申购,开放赎回
2025-12-17,0.8530,0.8530,1.46,开放申购,开放赎回
2025-12-16,0.8407,0.8407,-0.70,开放申购,开放赎回
2025-12-15,0.8466,0.8466,-1.05,开放申购,开放赎回
2025-12-12,0.8556,0.8556,1.37,开放申购,开放赎回
2025-12-11,0.8440,0.8440,-1.92,开放申购,开放赎回
2025-12-10,0.8605,0.8605,0.40,开放申购,开放赎回
2025-12-09,0.8571,0.8571,-1.37,开放申购,开放赎回
2025-12-08,0.8690,0.8690,0.58,开放申购,开放赎回
2025-12-05,0.8640,0.8640,1.81,开放申购,开放赎回
2025-12-04,0.8486,0.8486,-0.13,开放申购,开放赎回
2025-12-03,0.8497,0.8497,-2.13,开放申购,开放赎回
2025-12-02,0.8682,0.8682,-1.60,开放申购,开放赎回
2025-12-01,0.8823,0.8823,0.62,开放申购,开放赎回
2025-11-28,0.8769,0.8769,0.75,开放申购,开放赎回
2025-11-27,0.8704,0.8704,-1.35,开放申购,开放赎回
2025-11-26,0.8823,0.8823,-0.53,开放申购,开放赎回
2025-11-25,0.8870,0.8870,0.33,开放申购,开放赎回
2025-11-24,0.8841,0.8841,2.87,开放申购,开放赎回
2025-11-21,0.8594,0.8594,-2.19,开放申购,开放赎回
2025-11-20,0.8786,0.8786,-1.41,开放申购,开放赎回
2025-11-19,0.8912,0.8912,-1.19,开放申购,开放赎回
2025-11-18,0.9019,0.9019,1.35,开放申购,开放赎回
2025-11-17,0.8899,0.8899,1.88,开放申购,开放赎回
2025-11-14,0.8735,0.8735,-2.02,开放申购,开放赎回
2025-11-13,0.8915,0.8915,1.17,开放申购,开放赎回
2025-11-12,0.8812,0.8812,-1.49,开放申购,开放赎回
2025-11-11,0.8945,0.8945,-2.02,开放申购,开放赎回
2025-11-10,0.9129,0.9129,0.84,开放申购,开放赎回
2025-11-07,0.9053,0.9053,-2.19,开放申购,开放赎回
2025-11-06,0.9256,0.9256,0.44,开放申购,开放赎回
2025-11-05,0.9215,0.9215,-1.56,开放申购,开放赎回
2025-11-04,0.9361,0.9361,-1.58,开放申购,开放赎回
2025-11-03,0.9511,0.9511,0.78,开放申购,开放赎回
2025-10-31,0.9437,0.9437,2.09,开放申购,开放赎回
2025-10-30,0.9244,0.9244,-1.39,开放申购,开放赎回
2025-10-29,0.9374,0.9374,0.97,开放申购,开放赎回
2025-10-28,0.9284,0.9284,0.98,开放申购,开放赎回
2025-10-27,0.9194,0.9194,0.75,开放申购,开放赎回
2025-10-24,0.9126,0.9126,1.10,开放申购,开放赎回
2025-10-23,0.9027,0.9027,1.14,开放申购,开放赎回
2025-10-22,0.8925,0.8925,-1.09,开放申购,开放赎回
2025-10-21,0.9023,0.9023,1.12,开放申购,开放赎回
2025-10-20,0.8923,0.8923,0.48,开放申购,开放赎回
2025-10-17,0.8880,0.8880,-3.24,开放申购,开放赎回
2025-10-16,0.9177,0.9177,-1.24,开放申购,开放赎回
2025-10-15,0.9292,0.9292,1.21,开放申购,开放赎回
2025-10-14,0.9181,0.9181,-2.50,开放申购,开放赎回
2025-10-13,0.9416,0.9416,0.46,开放申购,开放赎回
2025-10-10,0.9373,0.9373,-4.58,开放申购,开放赎回
2025-10-09,0.9823,0.9823,2.38,开放申购,开放赎回
2025-09-30,0.9595,0.9595,1.43,开放申购,开放赎回
2025-09-29,0.9460,0.9460,1.57,开放申购,开放赎回
2025-09-26,0.9314,0.9314,-3.05,开放申购,开放赎回
2025-09-25,0.9607,0.9607,1.50,开放申购,开放赎回
2025-09-24,0.9465,0.9465,3.05,开放申购,开放赎回
2025-09-23,0.9185,0.9185,-3.13,开放申购,开放赎回
2025-09-22,0.9482,0.9482,1.20,开放申购,开放赎回
2025-09-19,0.9370,0.9370,-0.98,开放申购,开放赎回
2025-09-18,0.9463,0.9463,-1.98,开放申购,开放赎回
2025-09-17,0.9654,0.9654,1.08,开放申购,开放赎回
2025-09-16,0.9551,0.9551,1.34,开放申购,开放赎回
2025-09-15,0.9425,0.9425,-0.05,开放申购,开放赎回
2025-09-12,0.9430,0.9430,-0.50,开放申购,开放赎回
2025-09-11,0.9477,0.9477,3.31,开放申购,开放赎回
2025-09-10,0.9173,0.9173,0.35,开放申购,开放赎回
2025-09-09,0.9141,0.9141,-1.88,开放申购,开放赎回
2025-09-08,0.9316,0.9316,0.93,开放申购,开放赎回
2025-09-05,0.9230,0.9230,1.48,开放申购,开放赎回
2025-09-04,0.9095,0.9095,-2.73,开放申购,开放赎回
2025-09-03,0.9350,0.9350,-3.14,开放申购,开放赎回
2025-09-02,0.9653,0.9653,-3.76,开放申购,开放赎回
2025-09-01,1.0030,1.0030,-0.38,开放申购,开放赎回
2025-08-29,1.0068,1.0068,-1.41,开放申购,开放赎回
2025-08-28,1.0212,1.0212,1.93,开放申购,开放赎回
2025-08-27,1.0019,1.0019,-0.79,开放申购,开放赎回
2025-08-26,1.0099,1.0099,0.92,开放申购,开放赎回
