发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,0.8170,0.8170,0.11,开放申购,开放赎回
2026-02-26,0.8161,0.8161,-1.67,开放申购,开放赎回
2026-02-25,0.8300,0.8300,1.78,开放申购,开放赎回
2026-02-24,0.8155,0.8155,0.80,开放申购,开放赎回
2026-02-13,0.8090,0.8090,-0.88,开放申购,开放赎回
2026-02-12,0.8162,0.8162,1.03,开放申购,开放赎回
2026-02-11,0.8079,0.8079,1.18,开放申购,开放赎回
2026-02-10,0.7985,0.7985,-0.31,开放申购,开放赎回
2026-02-09,0.8010,0.8010,0.97,开放申购,开放赎回
2026-02-06,0.7933,0.7933,1.68,开放申购,开放赎回
2026-02-05,0.7802,0.7802,-2.14,开放申购,开放赎回
2026-02-04,0.7973,0.7973,0.94,开放申购,开放赎回
2026-02-03,0.7899,0.7899,2.12,开放申购,开放赎回
2026-02-02,0.7735,0.7735,-2.21,开放申购,开放赎回
2026-01-30,0.7910,0.7910,-1.85,开放申购,开放赎回
2026-01-29,0.8059,0.8059,-1.60,开放申购,开放赎回
2026-01-28,0.8190,0.8190,-0.28,开放申购,开放赎回
2026-01-27,0.8213,0.8213,-1.25,开放申购,开放赎回
2026-01-26,0.8317,0.8317,-1.85,开放申购,开放赎回
2026-01-23,0.8474,0.8474,2.54,开放申购,开放赎回
2026-01-22,0.8264,0.8264,-1.08,开放申购,开放赎回
2026-01-21,0.8354,0.8354,1.48,开放申购,开放赎回
2026-01-20,0.8232,0.8232,-1.34,开放申购,开放赎回
2026-01-19,0.8344,0.8344,0.02,开放申购,开放赎回
2026-01-16,0.8342,0.8342,-0.10,开放申购,开放赎回
2026-01-15,0.8350,0.8350,1.64,开放申购,开放赎回
2026-01-14,0.8215,0.8215,-1.14,开放申购,开放赎回
2026-01-13,0.8310,0.8310,-0.14,开放申购,开放赎回
2026-01-12,0.8322,0.8322,0.31,开放申购,开放赎回
2026-01-09,0.8296,0.8296,0.72,开放申购,开放赎回
2026-01-08,0.8237,0.8237,-1.35,开放申购,开放赎回
2026-01-07,0.8350,0.8350,-0.30,开放申购,开放赎回
2026-01-06,0.8375,0.8375,1.70,开放申购,开放赎回
2026-01-05,0.8235,0.8235,2.37,开放申购,开放赎回
2025-12-31,0.8044,0.8044,-0.51,开放申购,开放赎回
2025-12-30,0.8085,0.8085,1.66,开放申购,开放赎回
2025-12-29,0.7953,0.7953,-1.78,开放申购,开放赎回
2025-12-26,0.8097,0.8097,2.13,开放申购,开放赎回
2025-12-25,0.7928,0.7928,0.34,开放申购,开放赎回
2025-12-24,0.7901,0.7901,0.80,开放申购,开放赎回
2025-12-23,0.7838,0.7838,1.83,开放申购,开放赎回
2025-12-22,0.7697,0.7697,1.54,开放申购,开放赎回
2025-12-19,0.7580,0.7580,1.11,开放申购,开放赎回
2025-12-18,0.7497,0.7497,-1.73,开放申购,开放赎回
2025-12-17,0.7629,0.7629,3.04,开放申购,开放赎回
2025-12-16,0.7404,0.7404,-1.56,开放申购,开放赎回
2025-12-15,0.7521,0.7521,-1.98,开放申购,开放赎回
2025-12-12,0.7673,0.7673,-0.29,开放申购,开放赎回
2025-12-11,0.7695,0.7695,-0.76,开放申购,开放赎回
2025-12-10,0.7754,0.7754,0.51,开放申购,开放赎回
2025-12-09,0.7715,0.7715,-1.32,开放申购,开放赎回
2025-12-08,0.7818,0.7818,2.00,开放申购,开放赎回
2025-12-05,0.7665,0.7665,0.41,开放申购,开放赎回
2025-12-04,0.7634,0.7634,1.01,开放申购,开放赎回
2025-12-03,0.7558,0.7558,-1.63,开放申购,开放赎回
2025-12-02,0.7683,0.7683,-1.54,开放申购,开放赎回
2025-12-01,0.7803,0.7803,0.66,开放申购,开放赎回
2025-11-28,0.7752,0.7752,1.65,开放申购,开放赎回
2025-11-27,0.7626,0.7626,0.05,开放申购,开放赎回
2025-11-26,0.7622,0.7622,-0.13,开放申购,开放赎回
2025-11-25,0.7632,0.7632,1.64,开放申购,开放赎回
2025-11-24,0.7509,0.7509,-1.21,开放申购,开放赎回
2025-11-21,0.7601,0.7601,-5.57,开放申购,开放赎回
2025-11-20,0.8049,0.8049,-1.59,开放申购,开放赎回
2025-11-19,0.8179,0.8179,0.69,开放申购,开放赎回
2025-11-18,0.8123,0.8123,-3.30,开放申购,开放赎回
2025-11-17,0.8400,0.8400,1.81,开放申购,开放赎回
2025-11-14,0.8251,0.8251,-1.95,开放申购,开放赎回
2025-11-13,0.8415,0.8415,5.89,开放申购,开放赎回
2025-11-12,0.7947,0.7947,-1.23,开放申购,开放赎回
2025-11-11,0.8046,0.8046,-0.86,开放申购,开放赎回
2025-11-10,0.8116,0.8116,-1.16,开放申购,开放赎回
2025-11-07,0.8211,0.8211,1.66,开放申购,开放赎回
2025-11-06,0.8077,0.8077,1.93,开放申购,开放赎回
2025-11-05,0.7924,0.7924,1.71,开放申购,开放赎回
2025-11-04,0.7791,0.7791,-2.75,开放申购,开放赎回
2025-11-03,0.8011,0.8011,-1.42,开放申购,开放赎回
2025-10-31,0.8126,0.8126,-0.23,开放申购,开放赎回
2025-10-30,0.8145,0.8145,0.32,开放申购,开放赎回
2025-10-29,0.8119,0.8119,3.65,开放申购,开放赎回
2025-10-28,0.7833,0.7833,0.19,开放申购,开放赎回
2025-10-27,0.7818,0.7818,0.66,开放申购,开放赎回
2025-10-24,0.7767,0.7767,1.53,开放申购,开放赎回
2025-10-23,0.7650,0.7650,1.11,开放申购,开放赎回
2025-10-22,0.7566,0.7566,-1.07,开放申购,开放赎回
2025-10-21,0.7648,0.7648,1.35,开放申购,开放赎回
2025-10-20,0.7546,0.7546,1.14,开放申购,开放赎回
2025-10-17,0.7461,0.7461,-3.59,开放申购,开放赎回
2025-10-16,0.7739,0.7739,0.12,开放申购,开放赎回
2025-10-15,0.7730,0.7730,2.06,开放申购,开放赎回
2025-10-14,0.7574,0.7574,-4.08,开放申购,开放赎回
2025-10-13,0.7896,0.7896,0.51,开放申购,开放赎回
2025-10-10,0.7856,0.7856,-5.64,开放申购,开放赎回
2025-10-09,0.8326,0.8326,2.22,开放申购,开放赎回
2025-09-30,0.8145,0.8145,2.91,开放申购,开放赎回
2025-09-29,0.7915,0.7915,4.13,开放申购,开放赎回
2025-09-26,0.7601,0.7601,-1.54,开放申购,开放赎回
2025-09-25,0.7720,0.7720,0.95,开放申购,开放赎回
2025-09-24,0.7647,0.7647,2.84,开放申购,开放赎回
2025-09-23,0.7436,0.7436,0.50,开放申购,开放赎回
2025-09-22,0.7399,0.7399,0.46,开放申购,开放赎回
2025-09-19,0.7365,0.7365,-0.26,开放申购,开放赎回
2025-09-18,0.7384,0.7384,-0.86,开放申购,开放赎回
2025-09-17,0.7448,0.7448,1.90,开放申购,开放赎回
2025-09-16,0.7309,0.7309,0.74,开放申购,开放赎回
2025-09-15,0.7255,0.7255,2.15,开放申购,开放赎回
2025-09-12,0.7102,0.7102,-0.67,开放申购,开放赎回
2025-09-11,0.7150,0.7150,1.66,开放申购,开放赎回
2025-09-10,0.7033,0.7033,-1.12,开放申购,开放赎回
2025-09-09,0.7113,0.7113,-0.56,开放申购,开放赎回
2025-09-08,0.7153,0.7153,3.34,开放申购,开放赎回
2025-09-05,0.6922,0.6922,7.18,开放申购,开放赎回
2025-09-04,0.6458,0.6458,-0.63,开放申购,开放赎回
2025-09-03,0.6499,0.6499,-0.08,开放申购,开放赎回
2025-09-02,0.6504,0.6504,-0.37,开放申购,开放赎回
2025-09-01,0.6528,0.6528,0.83,开放申购,开放赎回
2025-08-29,0.6474,0.6474,4.23,开放申购,开放赎回
2025-08-28,0.6211,0.6211,0.86,开放申购,开放赎回
2025-08-27,0.6158,0.6158,-1.16,开放申购,开放赎回
2025-08-26,0.6230,0.6230,-0.19,开放申购,开放赎回
