发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.3611,1.3881,-0.12,开放申购,开放赎回
2026-02-26,1.3627,1.3897,-0.20,开放申购,开放赎回
2026-02-25,1.3654,1.3924,-0.60,开放申购,开放赎回
2026-02-24,1.3737,1.4007,0.12,开放申购,开放赎回
2026-02-13,1.3720,1.3990,-0.80,开放申购,开放赎回
2026-02-12,1.3830,1.4100,-1.05,开放申购,开放赎回
2026-02-11,1.3977,1.4247,0.19,开放申购,开放赎回
2026-02-10,1.3951,1.4221,0.32,开放申购,开放赎回
2026-02-09,1.3906,1.4176,0.33,开放申购,开放赎回
2026-02-06,1.3860,1.4130,0.05,开放申购,开放赎回
2026-02-05,1.3853,1.4123,1.58,开放申购,开放赎回
2026-02-04,1.3638,1.3908,1.21,开放申购,开放赎回
2026-02-03,1.3475,1.3745,-0.44,开放申购,开放赎回
2026-02-02,1.3535,1.3805,-0.40,开放申购,开放赎回
2026-01-30,1.3590,1.3860,-1.11,开放申购,开放赎回
2026-01-29,1.3742,1.4012,1.57,开放申购,开放赎回
2026-01-28,1.3529,1.3799,0.37,开放申购,开放赎回
2026-01-27,1.3479,1.3749,0.46,开放申购,开放赎回
2026-01-26,1.3417,1.3687,0.43,开放申购,开放赎回
2026-01-23,1.3359,1.3629,-0.77,开放申购,开放赎回
2026-01-22,1.3462,1.3732,-0.10,开放申购,开放赎回
2026-01-21,1.3476,1.3746,-1.14,开放申购,开放赎回
2026-01-20,1.3632,1.3902,0.45,开放申购,开放赎回
2026-01-19,1.3571,1.3841,-0.60,开放申购,开放赎回
2026-01-16,1.3653,1.3923,-0.87,开放申购,开放赎回
2026-01-15,1.3773,1.4043,-0.22,开放申购,开放赎回
2026-01-14,1.3803,1.4073,-1.44,开放申购,开放赎回
2026-01-13,1.4005,1.4275,0.62,开放申购,开放赎回
2026-01-12,1.3919,1.4189,0.51,开放申购,开放赎回
2026-01-09,1.3849,1.4119,-0.44,开放申购,开放赎回
2026-01-08,1.3910,1.4180,-0.88,开放申购,开放赎回
