发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.8531,1.8531,-0.37,开放申购,开放赎回
2026-02-26,1.8600,1.8600,1.56,开放申购,开放赎回
2026-02-25,1.8314,1.8314,-0.18,开放申购,开放赎回
2026-02-24,1.8347,1.8347,0.21,开放申购,开放赎回
2026-02-13,1.8308,1.8308,-0.56,开放申购,开放赎回
2026-02-12,1.8411,1.8411,1.93,开放申购,开放赎回
2026-02-11,1.8062,1.8062,-1.82,开放申购,开放赎回
2026-02-10,1.8396,1.8396,0.84,开放申购,开放赎回
2026-02-09,1.8243,1.8243,3.81,开放申购,开放赎回
2026-02-06,1.7573,1.7573,-1.77,开放申购,开放赎回
2026-02-05,1.7890,1.7890,-1.44,开放申购,开放赎回
2026-02-04,1.8151,1.8151,-2.98,开放申购,开放赎回
2026-02-03,1.8708,1.8708,0.61,开放申购,开放赎回
2026-02-02,1.8595,1.8595,-2.77,开放申购,开放赎回
2026-01-30,1.9125,1.9125,1.30,开放申购,开放赎回
2026-01-29,1.8880,1.8880,-1.52,开放申购,开放赎回
2026-01-28,1.9172,1.9172,-0.25,开放申购,开放赎回
2026-01-27,1.9221,1.9221,1.31,开放申购,开放赎回
2026-01-26,1.8973,1.8973,-0.73,开放申购,开放赎回
2026-01-23,1.9113,1.9113,-0.72,开放申购,开放赎回
2026-01-22,1.9251,1.9251,1.52,开放申购,开放赎回
2026-01-21,1.8963,1.8963,2.08,开放申购,开放赎回
2026-01-20,1.8576,1.8576,-2.08,开放申购,开放赎回
2026-01-19,1.8971,1.8971,-1.25,开放申购,开放赎回
2026-01-16,1.9211,1.9211,-0.34,开放申购,开放赎回
2026-01-15,1.9277,1.9277,0.03,开放申购,开放赎回
2026-01-14,1.9272,1.9272,1.99,开放申购,开放赎回
2026-01-13,1.8896,1.8896,-2.55,开放申购,开放赎回
2026-01-12,1.9391,1.9391,4.01,开放申购,开放赎回
2026-01-09,1.8643,1.8643,1.65,开放申购,开放赎回
2026-01-08,1.8340,1.8340,0.13,开放申购,开放赎回
2026-01-07,1.8317,1.8317,0.11,开放申购,开放赎回
2026-01-06,1.8296,1.8296,0.69,开放申购,开放赎回
2026-01-05,1.8171,1.8171,3.04,开放申购,开放赎回
2025-12-31,1.7635,1.7635,-0.96,开放申购,开放赎回
2025-12-30,1.7806,1.7806,1.24,开放申购,开放赎回
2025-12-29,1.7588,1.7588,0.17,开放申购,开放赎回
2025-12-26,1.7559,1.7559,-0.31,开放申购,开放赎回
2025-12-25,1.7613,1.7613,0.27,开放申购,开放赎回
2025-12-24,1.7565,1.7565,0.76,开放申购,开放赎回
2025-12-23,1.7433,1.7433,0.09,开放申购,开放赎回
2025-12-22,1.7417,1.7417,2.32,开放申购,开放赎回
2025-12-19,1.7022,1.7022,0.45,开放申购,开放赎回
2025-12-18,1.6946,1.6946,-1.71,开放申购,开放赎回
2025-12-17,1.7240,1.7240,3.46,开放申购,开放赎回
2025-12-16,1.6664,1.6664,-2.39,开放申购,开放赎回
2025-12-15,1.7072,1.7072,-1.86,开放申购,开放赎回
2025-12-12,1.7395,1.7395,1.15,开放申购,开放赎回
2025-12-11,1.7198,1.7198,-2.49,开放申购,开放赎回
2025-12-10,1.7637,1.7637,0.25,开放申购,开放赎回
2025-12-09,1.7593,1.7593,1.25,开放申购,开放赎回
2025-12-08,1.7376,1.7376,2.97,开放申购,开放赎回
2025-12-05,1.6875,1.6875,0.20,开放申购,开放赎回
2025-12-04,1.6841,1.6841,0.89,开放申购,开放赎回
