发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.1750,1.1750,2.26,开放申购,开放赎回
2026-02-26,1.1490,1.1490,1.04,开放申购,开放赎回
2026-02-25,1.1372,1.1372,0.54,开放申购,开放赎回
2026-02-24,1.1311,1.1311,1.89,开放申购,开放赎回
2026-02-13,1.1101,1.1101,-1.29,开放申购,开放赎回
2026-02-12,1.1246,1.1246,0.74,开放申购,开放赎回
2026-02-11,1.1163,1.1163,0.16,开放申购,开放赎回
2026-02-10,1.1145,1.1145,-0.60,开放申购,开放赎回
2026-02-09,1.1212,1.1212,0.59,开放申购,开放赎回
2026-02-06,1.1146,1.1146,0.43,开放申购,开放赎回
2026-02-05,1.1098,1.1098,-1.17,开放申购,开放赎回
2026-02-04,1.1229,1.1229,1.33,开放申购,开放赎回
2026-02-03,1.1082,1.1082,0.68,开放申购,开放赎回
2026-02-02,1.1007,1.1007,-1.05,开放申购,开放赎回
2026-01-30,1.1124,1.1124,-0.43,开放申购,开放赎回
2026-01-29,1.1172,1.1172,-0.13,开放申购,开放赎回
2026-01-28,1.1186,1.1186,-0.42,开放申购,开放赎回
2026-01-27,1.1233,1.1233,-1.01,开放申购,开放赎回
2026-01-26,1.1348,1.1348,-0.16,开放申购,开放赎回
2026-01-23,1.1366,1.1366,0.55,开放申购,开放赎回
2026-01-22,1.1304,1.1304,-0.05,开放申购,开放赎回
2026-01-21,1.1310,1.1310,-0.92,开放申购,开放赎回
2026-01-20,1.1415,1.1415,0.90,开放申购,开放赎回
2026-01-19,1.1313,1.1313,1.21,开放申购,开放赎回
2026-01-16,1.1178,1.1178,0.06,开放申购,开放赎回
2026-01-15,1.1171,1.1171,-0.10,开放申购,开放赎回
2026-01-14,1.1182,1.1182,-0.29,开放申购,开放赎回
2026-01-13,1.1215,1.1215,0.10,开放申购,开放赎回
2026-01-12,1.1204,1.1204,0.67,开放申购,开放赎回
2026-01-09,1.1129,1.1129,0.20,开放申购,开放赎回
2026-01-08,1.1107,1.1107,0.23,开放申购,开放赎回
2026-01-07,1.1081,1.1081,0.28,开放申购,开放赎回
2026-01-06,1.1050,1.1050,0.77,开放申购,开放赎回
2026-01-05,1.0966,1.0966,0.65,开放申购,开放赎回
2025-12-31,1.0895,1.0895,-0.39,开放申购,开放赎回
2025-12-30,1.0938,1.0938,-1.04,开放申购,开放赎回
2025-12-29,1.1053,1.1053,-1.94,开放申购,开放赎回
2025-12-26,1.1272,1.1272,0.52,开放申购,开放赎回
2025-12-25,1.1214,1.1214,0.05,开放申购,开放赎回
2025-12-24,1.1208,1.1208,0.41,开放申购,开放赎回
2025-12-23,1.1162,1.1162,0.14,开放申购,开放赎回
2025-12-22,1.1146,1.1146,-0.20,开放申购,开放赎回
2025-12-19,1.1168,1.1168,0.20,开放申购,开放赎回
2025-12-18,1.1146,1.1146,0.04,开放申购,开放赎回
2025-12-17,1.1142,1.1142,0.32,开放申购,开放赎回
2025-12-16,1.1107,1.1107,-0.99,开放申购,开放赎回
2025-12-15,1.1218,1.1218,-0.09,开放申购,开放赎回
2025-12-12,1.1228,1.1228,0.82,开放申购,开放赎回
2025-12-11,1.1137,1.1137,-0.38,开放申购,开放赎回
2025-12-10,1.1180,1.1180,0.24,开放申购,开放赎回
2025-12-09,1.1153,1.1153,-0.25,开放申购,开放赎回
2025-12-08,1.1181,1.1181,-0.45,开放申购,开放赎回
2025-12-05,1.1231,1.1231,0.13,开放申购,开放赎回
2025-12-04,1.1216,1.1216,-0.27,开放申购,开放赎回
2025-12-03,1.1246,1.1246,0.21,开放申购,开放赎回
2025-12-02,1.1222,1.1222,-0.14,开放申购,开放赎回
2025-12-01,1.1238,1.1238,0.24,开放申购,开放赎回
2025-11-28,1.1211,1.1211,0.11,开放申购,开放赎回
2025-11-27,1.1199,1.1199,0.38,开放申购,开放赎回
2025-11-26,1.1157,1.1157,-0.03,开放申购,开放赎回
2025-11-25,1.1160,1.1160,0.45,开放申购,开放赎回
2025-11-24,1.1110,1.1110,-0.34,开放申购,开放赎回
2025-11-21,1.1148,1.1148,-1.96,开放申购,开放赎回
2025-11-20,1.1371,1.1371,-0.28,开放申购,开放赎回
2025-11-19,1.1403,1.1403,0.22,开放申购,开放赎回
2025-11-18,1.1378,1.1378,-1.22,开放申购,开放赎回
2025-11-17,1.1519,1.1519,-0.62,开放申购,开放赎回
2025-11-14,1.1591,1.1591,-1.18,开放申购,开放赎回
2025-11-13,1.1729,1.1729,-0.44,开放申购,开放赎回
2025-11-12,1.1781,1.1781,-0.34,开放申购,开放赎回
