发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.8797,1.8797,0.07,限制大额申购,开放赎回
2026-02-26,1.8784,1.8784,0.76,限制大额申购,开放赎回
2026-02-25,1.8643,1.8643,0.09,限制大额申购,开放赎回
2026-02-24,1.8626,1.8626,-0.41,限制大额申购,开放赎回
2026-02-13,1.8702,1.8702,0.16,限制大额申购,开放赎回
2026-02-12,1.8673,1.8673,1.97,限制大额申购,开放赎回
2026-02-11,1.8313,1.8313,-0.47,限制大额申购,开放赎回
2026-02-10,1.8400,1.8400,0.36,限制大额申购,开放赎回
2026-02-09,1.8334,1.8334,3.05,限制大额申购,开放赎回
2026-02-06,1.7792,1.7792,-0.76,限制大额申购,开放赎回
2026-02-05,1.7929,1.7929,-1.61,限制大额申购,开放赎回
2026-02-04,1.8223,1.8223,-1.74,限制大额申购,开放赎回
2026-02-03,1.8546,1.8546,2.22,限制大额申购,开放赎回
2026-02-02,1.8144,1.8144,-6.39,开放申购,开放赎回
2026-01-30,1.9383,1.9383,0.02,开放申购,开放赎回
2026-01-29,1.9379,1.9379,-3.13,开放申购,开放赎回
2026-01-28,2.0005,2.0005,1.31,开放申购,开放赎回
2026-01-27,1.9746,1.9746,2.12,开放申购,开放赎回
2026-01-26,1.9336,1.9336,-1.82,开放申购,开放赎回
2026-01-23,1.9695,1.9695,-0.16,开放申购,开放赎回
2026-01-22,1.9727,1.9727,-0.23,开放申购,开放赎回
2026-01-21,1.9772,1.9772,3.74,开放申购,开放赎回
2026-01-20,1.9060,1.9060,-0.97,开放申购,开放赎回
2026-01-19,1.9247,1.9247,-0.64,开放申购,开放赎回
2026-01-16,1.9370,1.9370,4.11,开放申购,开放赎回
2026-01-15,1.8606,1.8606,1.31,开放申购,开放赎回
2026-01-14,1.8366,1.8366,0.61,开放申购,开放赎回
2026-01-13,1.8255,1.8255,-3.42,开放申购,开放赎回
2026-01-12,1.8902,1.8902,1.26,开放申购,开放赎回
2026-01-09,1.8666,1.8666,-0.07,开放申购,开放赎回
2026-01-08,1.8679,1.8679,0.23,开放申购,开放赎回
2026-01-07,1.8636,1.8636,1.30,开放申购,开放赎回
2026-01-06,1.8396,1.8396,1.77,开放申购,开放赎回
2026-01-05,1.8076,1.8076,4.39,开放申购,开放赎回
2025-12-31,1.7316,1.7316,-0.73,开放申购,开放赎回
2025-12-30,1.7443,1.7443,-0.62,开放申购,开放赎回
2025-12-29,1.7551,1.7551,-1.25,开放申购,开放赎回
2025-12-26,1.7773,1.7773,0.58,开放申购,开放赎回
2025-12-25,1.7670,1.7670,0.10,开放申购,开放赎回
2025-12-24,1.7653,1.7653,1.40,开放申购,开放赎回
2025-12-23,1.7410,1.7410,0.73,开放申购,开放赎回
2025-12-22,1.7283,1.7283,1.96,开放申购,开放赎回
2025-12-19,1.6950,1.6950,-1.35,开放申购,开放赎回
