发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,0.8027,0.8027,0.16,开放申购,开放赎回
2026-02-26,0.8014,0.8014,-2.18,开放申购,开放赎回
2026-02-25,0.8193,0.8193,1.62,开放申购,开放赎回
2026-02-24,0.8062,0.8062,0.27,开放申购,开放赎回
2026-02-13,0.8040,0.8040,-1.14,开放申购,开放赎回
2026-02-12,0.8133,0.8133,1.46,开放申购,开放赎回
2026-02-11,0.8016,0.8016,0.65,开放申购,开放赎回
2026-02-10,0.7964,0.7964,-0.41,开放申购,开放赎回
2026-02-09,0.7997,0.7997,1.61,开放申购,开放赎回
2026-02-06,0.7870,0.7870,1.86,开放申购,开放赎回
2026-02-05,0.7726,0.7726,-2.56,开放申购,开放赎回
2026-02-04,0.7929,0.7929,1.07,开放申购,开放赎回
2026-02-03,0.7845,0.7845,2.52,开放申购,开放赎回
2026-02-02,0.7652,0.7652,-1.85,开放申购,开放赎回
2026-01-30,0.7796,0.7796,0.13,开放申购,开放赎回
2026-01-29,0.7786,0.7786,-2.14,开放申购,开放赎回
2026-01-28,0.7956,0.7956,-1.40,开放申购,开放赎回
2026-01-27,0.8069,0.8069,-1.41,开放申购,开放赎回
2026-01-26,0.8184,0.8184,-2.03,开放申购,开放赎回
2026-01-23,0.8354,0.8354,2.76,开放申购,开放赎回
2026-01-22,0.8130,0.8130,-1.24,开放申购,开放赎回
2026-01-21,0.8232,0.8232,1.04,开放申购,开放赎回
2026-01-20,0.8147,0.8147,-2.54,开放申购,开放赎回
2026-01-19,0.8359,0.8359,0.40,开放申购,开放赎回
2026-01-16,0.8326,0.8326,0.91,开放申购,开放赎回
2026-01-15,0.8251,0.8251,1.05,开放申购,开放赎回
2026-01-14,0.8165,0.8165,0.02,开放申购,开放赎回
2026-01-13,0.8163,0.8163,-0.80,开放申购,开放赎回
2026-01-12,0.8229,0.8229,-0.83,开放申购,开放赎回
2026-01-09,0.8298,0.8298,0.86,开放申购,开放赎回
2026-01-08,0.8227,0.8227,-1.09,开放申购,开放赎回
2026-01-07,0.8318,0.8318,-0.12,开放申购,开放赎回
2026-01-06,0.8328,0.8328,1.10,开放申购,开放赎回
2026-01-05,0.8237,0.8237,2.23,开放申购,开放赎回
2025-12-31,0.8057,0.8057,-0.84,开放申购,开放赎回
2025-12-30,0.8125,0.8125,1.61,开放申购,开放赎回
2025-12-29,0.7996,0.7996,-2.23,开放申购,开放赎回
2025-12-26,0.8178,0.8178,2.06,开放申购,开放赎回
