发布日期,单位净值,累计净值,净值增长率(%),申购状态,赎回状态
2026-02-27,1.0487,1.0487,0.52,开放申购,开放赎回
2026-02-26,1.0433,1.0433,-3.19,开放申购,开放赎回
2026-02-25,1.0777,1.0777,-0.12,开放申购,开放赎回
2026-02-24,1.0790,1.0790,-0.73,开放申购,开放赎回
2026-02-13,1.0869,1.0869,-1.14,开放申购,开放赎回
2026-02-12,1.0994,1.0994,-1.30,开放申购,开放赎回
2026-02-11,1.1139,1.1139,0.57,开放申购,开放赎回
2026-02-10,1.1076,1.1076,0.95,开放申购,开放赎回
2026-02-09,1.0972,1.0972,1.61,开放申购,开放赎回
2026-02-06,1.0798,1.0798,-0.86,开放申购,开放赎回
2026-02-05,1.0892,1.0892,1.32,开放申购,开放赎回
2026-02-04,1.0750,1.0750,0.35,开放申购,开放赎回
2026-02-03,1.0713,1.0713,0.36,开放申购,开放赎回
2026-02-02,1.0675,1.0675,-2.63,开放申购,开放赎回
2026-01-30,1.0963,1.0963,-2.26,开放申购,开放赎回
2026-01-29,1.1216,1.1216,-0.35,开放申购,开放赎回
2026-01-28,1.1255,1.1255,1.90,开放申购,开放赎回
2026-01-27,1.1045,1.1045,0.54,开放申购,开放赎回
2026-01-26,1.0986,1.0986,-1.26,开放申购,开放赎回
2026-01-23,1.1126,1.1126,0.84,开放申购,开放赎回
2026-01-22,1.1033,1.1033,0.19,开放申购,开放赎回
2026-01-21,1.1012,1.1012,0.58,开放申购,开放赎回
2026-01-20,1.0948,1.0948,-0.44,开放申购,开放赎回
2026-01-19,1.0996,1.0996,-1.53,开放申购,开放赎回
2026-01-16,1.1167,1.1167,-0.26,开放申购,开放赎回
2026-01-15,1.1196,1.1196,-0.57,开放申购,开放赎回
2026-01-14,1.1260,1.1260,0.91,开放申购,开放赎回
2026-01-13,1.1159,1.1159,0.85,开放申购,开放赎回
2026-01-12,1.1065,1.1065,2.12,开放申购,开放赎回
2026-01-09,1.0835,1.0835,0.05,开放申购,开放赎回
2026-01-08,1.0830,1.0830,-0.78,开放申购,开放赎回
2026-01-07,1.0915,1.0915,-0.03,开放申购,开放赎回
2026-01-06,1.0918,1.0918,1.11,开放申购,开放赎回
2026-01-05,1.0798,1.0798,2.73,开放申购,开放赎回
2025-12-31,1.0511,1.0511,-1.31,暂停申购,暂停赎回
